job_title,name_location,job_description
Data Science Cadet,"Jemena · Brisbane, Queensland, Australia  4 days ago  · 20 applicants","About the job
About Us

Jemena is an Australian energy company who owns and operates over $11.5 Billion worth of gas and electricity transportation assets across Australia supplying millions of households and businesses with essential services every day.

We pride ourselves on our innovative approach, technical expertise, and dedication to safety, quality, and sustainability. Our Group’s over 3000 team members across the East Coast, consistently strive to make a difference in the communities we serve.

About The Role

Are you an enthusiastic undergraduate student looking for a meaningful internship opportunity? Come be a part of Jemena's vibrant workplace, where you can engage in practical learning. During your internship, you'll be involved in:

Exploring data.
Developing hypotheses.
Preparing data.
Applying statistical and machine learning methods.

Moreover, you'll have the chance to acquire skills in result interpretation and crafting data visualisations to effectively deliver insights. Join us for an enriching internship experience!

Please note this role can be located in either Melbourne or Brisbane.

About You

You're the kind of person who enjoys tackling problems with a knack for figuring things out. You have had exposure to common languages like Python or R. You're not afraid to look at problems with a business sense and understand how to balance things to make them work.

In Addition You Should Be

Currently pursuing a Bachelor's degree in either Data Science, Computer Science, Statistics, and/or related disciplines
Strong at problem-solving and issue resolution skills.
Excellent with interpersonal and communication skills (both written and verbal).
Able to manage and adapt to change.

We are a champion of equal opportunity employment and have committed to targets for gender equity and first nations representation in our workforce. We want you to come as you are by promoting an inclusive culture, both within our organisation and throughout the communities we interact with.

We welcome applications from people with diverse backgrounds including First Nations Peoples, people with differing abilities, LGBTIQ+ community, gender, neurodiverse, cultural diversity, all age groups, and those with an intersectional or multiple diverse characteristics.

Our people are our energy source and we offer meaningful benefits and rewards that work for you. We offer the opportunity for potential long term career growth as part of our talent development and succession planning process.

Join our team and make a meaningful impact toward Australia’s “Net Zero” targets through the delivery of critical infrastructure projects and be a part of our journey to shape the future of the energy and utilities industry.

Recruitment Process

As part of Jemena’s recruitment process, you will be required to undergo pre-employment checks.

Notice to Third Parties: Jemena does not accept unsolicited resumes (or liability associated with fees or costs) from recruitment agencies, search firms or third parties. Interested candidates are welcome to submit their application independently."
Data Entry - Typist Part-Time - Work Online - Remote,Tmkstaffingrecruiting · Australia  4 days ago  · 193 applicants,"About the job
Important : After Applying , Check Inbox or Spam Folder For Next Steps.

Working in the Data Entry field is a great way to supplement your income. Looking for both full-time, and part-time employees to work from home.

Qualifications

Must be able type with accuracy.

Computer Skills including internet, e-mail, e-mail attachments, downloading and uploading files.

Ensure that projects stay on schedule with the ability to manage multiple projects simultaneously.

Relies on experience and judgment to plan and accomplish assigned goals.

Ability to work independently.

Requirements

Home Computer

Stable Internet Connection

Desired Skills And Experience

Data Entry

Powered by Webbtree"
Work From Home Data Entry Clerk / Typing,Tmkstaffingrecruiting · Australia  3 days ago  · 488 applicants,"About the job
We are a leading, highly innovative software house, systems integrator and technology provider, established to provide leading edge intelligent technical solutions and consulting services to businesses, organizations and government in order to allow the efficient and effective secure access and communication with various heterogeneous information resources and services, anytime and anywhere.

This is your chance to begin a long-lasting career with limitless opportunity. Find the freedom you've been trying to find by taking a minute to complete our online application.

Qualifications

No experience, Willing to train
Ability to work within recognized turnaround times
Must have exceptional social skills and the ability to organize simultaneous tasks
Ability to translate and use company policies and procedures
Excellent verbal and written communication abilities
Ability to work both individually and within a group environment
Ability to stay organized, regard to information, follow guidelines and multi-task in a professional and effective manner

Requirements

Must be able to carry out duties with or without reasonable accommodation
Perform all other responsibilities as designated
Assist in developing a favorable, professional and safe work environment

Benefits

Excellent weekly pay
Safe work environment
Multiple shifts are offered from early morning to night and no experience is required. 
You will have ample opportunity for growth
Part-time offered - pick the days you wish to work
A commitment to promote from within

Powered by Webbtree"
Typist / Data Entry - Full-Time - Work Online,Tmkstaffingrecruiting · Australia  6 days ago  · 255 applicants,"About the job
Working in the Data Entry field is a great way to supplement your income. Looking for both full-time, and part-time employees to work from home.

Qualifications

Must be able type with accuracy. 
Computer Skills including internet, e-mail, e-mail attachments, downloading and uploading files. 
Ensure that projects stay on schedule with the ability to manage multiple projects simultaneously. 
Relies on experience and judgment to plan and accomplish assigned goals. 
Ability to work independently. 

Requirements

Home Computer
Stable Internet Connection

Powered by Webbtree"
Typist / Data Entry - Full-Time - Work Online,Tmkstaffingrecruiting · Australia  4 days ago  · 195 applicants,"About the job
Working in the Data Entry field is a great way to supplement your income. Looking for both full-time, and part-time employees to work from home.

Qualifications

Must be able type with accuracy. 
Computer Skills including internet, e-mail, e-mail attachments, downloading and uploading files. 
Ensure that projects stay on schedule with the ability to manage multiple projects simultaneously. 
Relies on experience and judgment to plan and accomplish assigned goals. 
Ability to work independently. 

Requirements

Home Computer
Stable Internet Connection

Powered by Webbtree"
Data Entry/Transcription Typist,"Securitylockdistributors · Adelaide, South Australia, Australia  1 week ago  · 19 applicants","About the job
The Data Entry Clerk/Human will be responsible for analyzing and interpreting large datasets to provide valuable insights and recommendations to the business. They will work closely with cross-functional teams to gather and analyze data, develop reports, and provide customized solutions to help the organization gain a competitive edge.

Responsibilities:

Analyze large data sets using advanced statistical techniques and tools to uncover trends, opportunities, and insights.

Develop, maintain and analyze performance metrics and reports that support data-driven decision-making processes.

Collaborate with stakeholders to identify business questions and translate them into data and analysis requirements.

Develop models and algorithms to help optimize business processes and drive efficiencies.

Design and execute A/B tests and experiments to identify opportunities for optimization.

Identify data quality issues and help to develop solutions to improve data integrity, accuracy, and completeness.

Manage data collection, cleansing, and manipulation processes to ensure data is readily accessible and easy to work with.

Prepare and present data-driven reports and insights to stakeholders, highlighting key findings and recommendations.

Qualifications:

1+ years of relevant experience in data analysis, preferably in the Internet and New Media industry.

Proven experience in analyzing large and complex datasets using SQL, R, Python, or related tools.

Strong analytical, critical thinking, and problem-solving skills.

Excellent communication and collaboration skills, with the ability to work effectively in a team environment.

Experience with data visualization tools such as Tableau, Power BI, or related tools.

Knowledge of statistical modeling, hypothesis testing, and A/B testing methodologies.

Familiarity with data management and ETL processes.

Powered by Webbtree"
Data Entry - Typist - Work Online - Remote,Tmkstaffingrecruiting · Australia  1 week ago  · 371 applicants,"About the job
Working in the Data Entry field is a great way to supplement your income. Looking for both full-time, and part-time employees to work from home.

Qualifications

Must be able type with accuracy. 
Computer Skills including internet, e-mail, e-mail attachments, downloading and uploading files. 
Ensure that projects stay on schedule with the ability to manage multiple projects simultaneously. 
Relies on experience and judgment to plan and accomplish assigned goals. 
Ability to work independently. 

Requirements

Home Computer
Stable Internet Connection

Powered by Webbtree"
Remote Data Entry Clerk - Part time / Full time,Tmkstaffingrecruiting · Australia  4 days ago  · 188 applicants,"About the job
Company Profile

With our index of verified, up-to-date job listings sourced directly from employer websites, we've developed a uniquely powerful dataset that delivers insights into the global job market.

We are looking for a Data Entry Clerk to join our team. The successful candidate will be responsible for entering data into our computer systems accurately and efficiently, as well as verifying and correcting existing data. The Data Entry Clerk must have a keen eye for detail, excellent organizational skills, and the ability to work independently with minimal supervision. This is a great opportunity for someone who is looking to develop their data entry skills in a fast-paced environment.

Responsibilities

Enter data into computer systems accurately and quickly.

Maintain accuracy and attention to detail when entering data.

Verify accuracy of data entered into computer system.

Organize and store data in an efficient manner.

Follow instructions and procedures for data entry tasks.

Maintain confidentiality of sensitive information.

Job Types: Part-time / Full time

Pay: $35.00 per hour

Benefits

Flexible schedule

Tuition Reimbursement

Experience

Microsoft Excel (Preferred)

Work Location: Remote Work From Home Duties

Powered by Webbtree"
Data Entry/Data Entry Officer,"Securitylockdistributors · Broken Hill, New South Wales, Australia  1 week ago  · 20 applicants","About the job
The Data Entry Clerk/Human will be responsible for analyzing and interpreting large datasets to provide valuable insights and recommendations to the business. They will work closely with cross-functional teams to gather and analyze data, develop reports, and provide customized solutions to help the organization gain a competitive edge.

Responsibilities:

Analyze large data sets using advanced statistical techniques and tools to uncover trends, opportunities, and insights.

Develop, maintain and analyze performance metrics and reports that support data-driven decision-making processes.

Collaborate with stakeholders to identify business questions and translate them into data and analysis requirements.

Develop models and algorithms to help optimize business processes and drive efficiencies.

Design and execute A/B tests and experiments to identify opportunities for optimization.

Identify data quality issues and help to develop solutions to improve data integrity, accuracy, and completeness.

Manage data collection, cleansing, and manipulation processes to ensure data is readily accessible and easy to work with.

Prepare and present data-driven reports and insights to stakeholders, highlighting key findings and recommendations.

Qualifications:

1+ years of relevant experience in data analysis, preferably in the Internet and New Media industry.

Proven experience in analyzing large and complex datasets using SQL, R, Python, or related tools.

Strong analytical, critical thinking, and problem-solving skills.

Excellent communication and collaboration skills, with the ability to work effectively in a team environment.

Experience with data visualization tools such as Tableau, Power BI, or related tools.

Knowledge of statistical modeling, hypothesis testing, and A/B testing methodologies.

Familiarity with data management and ETL processes.

Powered by Webbtree"
Data Entry/Factory Sorter,"Securitylockdistributors · Brisbane, Queensland, Australia  6 days ago  · 7 applicants","About the job
The Data Entry Clerk/Human will be responsible for analyzing and interpreting large datasets to provide valuable insights and recommendations to the business. They will work closely with cross-functional teams to gather and analyze data, develop reports, and provide customized solutions to help the organization gain a competitive edge.

Responsibilities:

Analyze large data sets using advanced statistical techniques and tools to uncover trends, opportunities, and insights.

Develop, maintain and analyze performance metrics and reports that support data-driven decision-making processes.

Collaborate with stakeholders to identify business questions and translate them into data and analysis requirements.

Develop models and algorithms to help optimize business processes and drive efficiencies.

Design and execute A/B tests and experiments to identify opportunities for optimization.

Identify data quality issues and help to develop solutions to improve data integrity, accuracy, and completeness.

Manage data collection, cleansing, and manipulation processes to ensure data is readily accessible and easy to work with.

Prepare and present data-driven reports and insights to stakeholders, highlighting key findings and recommendations.

Qualifications:

1+ years of relevant experience in data analysis, preferably in the Internet and New Media industry.

Proven experience in analyzing large and complex datasets using SQL, R, Python, or related tools.

Strong analytical, critical thinking, and problem-solving skills.

Excellent communication and collaboration skills, with the ability to work effectively in a team environment.

Experience with data visualization tools such as Tableau, Power BI, or related tools.

Knowledge of statistical modeling, hypothesis testing, and A/B testing methodologies.

Familiarity with data management and ETL processes.

Powered by Webbtree"
