job_title,name_location,job_description
Analytics Engineer Intern,HelloFresh · Copenhagen Metropolitan Area  1 day ago  · 10 applicants,"About the job
The Job

Are you a Master’s student with a passion for turning complex data into actionable solutions? Then you might be our next Analytics Engineer intern! Our dynamic & diverse Nordic OpsTech team is looking for an OpsTech intern to join us in the upcoming weeks. This position is great for an aspiring data analysis professional looking to work on business-critical projects and gain relevant work experience.

In this exciting role, you will support core processes and strategic initiatives across multiple departments by analyzing data, preparing dashboards, performing research, and building tools, all with the goal of driving better decision making and more effective operations. To succeed in this role, you’ll need to have a genuine interest in using data and information to solve real business challenges, strong analytical abilities, and a keen interest to make a big impact on a fast-growing organization.

You will be based out of our regional HQ in Copenhagen and report directly to our Data Scientist.

You will…

Provide insights on our KPIs by creating powerful dashboards in Tableau.
Work closely with different stakeholders to conceive, monitor and analyze new tracking methods using SQL and GSheet.
Create automated tools and hacks to help the team save time every day using Python, DataBricks and Airflow.
Run in-depth analysis of our Supply chain, to drive optimisation recommendations.

You have…

Masters Program in a Top Business/Engineering School/University, with a strong focus on data. 
Previous experience in a consulting, finance, start up or scale up environment.
Fluent in Google Suite applications, basic experience with database languages and structures (e.g. SQL), programming languages (e.g. Python) or data visualization software (e.g. Tableau) are a plus.
A data-driven critical thinker and problem solver. 
A pragmatic and hands-on ‘can do’ attitude.
A natural owner: From scoping to realization and following up of your projects.

What We Offer…

Make a serious impact on the offerings of the Tech landscape
Learning and development opportunities both as a specialist and as a generalist in the Data field
Freedom of idea and initiative, execution and implementation of your own ideas
The opportunity to engage and collaborate with our colleagues across the globe
A significant discount on your weekly HelloFresh box
Subsidized healthy lunches, fruit & snacks in the office 
Free Friday Bar!
Health insurance with complete benefits

Are you up for a challenge?

For further information, contact Paul Romieu, Data Scientist (paul.romieu@hellofresh.se). We will be conducting interviews on an ongoing basis and will close down the position once the successful candidate has been found.

Please submit your complete application below including your earliest starting date.

Internship period: 6 months
Working hours: 37 hours a week, with the possibility of variation over the course of the internship
Preferred start date: 2nd January 2024
Internships are remunerated if your educational track allows

13084"
Data Analyst (part time),"AutoUncle · Århus, Middle Jutland, Denmark  5 days ago  · 281 applicants","About the job
About AutoUncle

At AutoUncle we are a company with dual visions.

Business Vision: Most people know us for our search engine — used by millions — to promote transparency in the used car market in Europe. Over time we have also used that underlying technology to build products that give price and market insights in lots of other contexts.

We want to make sure our platform is available wherever people need us, whether that is on our consumer search engine, in the hands of automotive professionals, via external marketplaces, or on dealer and OEM websites.

Company Vision: A great company culture depends on many factors. Having a compelling product. Building a strong community. Operating with trust and fairness. But before you can reach any of those goals, you need to relentlessly focus on people.

The Most Human Company is a place where people — each with individual and diverse abilities, ambitions, and emotions — come together to work, learn, and grow.

At AutoUncle, we acknowledge and appreciate that everyone has feelings and opinions, and we bring them to work with us every day. Our emotions can work for us or against us, but if we suppress them, we often end up blocking our own growth instead.

Humans are not machines. Input does not always equal output. That’s why we focus on outcomes — the results of hard work and creative energy — and not the time spent creating them. We know that success is a marathon, and we trust our teammates to know how to best use their time to reach our shared goals.

About The Data Analyst Opportunity & You

Your Role: 

As our Data Analyst, you will play an essential role in our data-focused initiatives. You'll adeptly handle diverse data sources, ensuring precision every step of the way. By diving deeply into datasets, you'll discover vital trends that shape our strategic approach. More than just numbers, you'll design visually engaging dashboards that transform complexity into easily understandable insights for everyone.

Your Credentials: 

Experience in data analysis, especially with tools like Excel, Python, R, and SQL, is essential. 
Strong data visualization know-how, preferably with Power BI, is a plus. 
Familiarity with quantitative methods, including cluster, regression, & factor analysis is beneficial. 
While a background in Cognitive Science, Business Intelligence, or Political Science is desired, but not a requirement. We also prioritize hands-on experience and skills.

About You: A team player by heart, you have an unwavering focus on detail. Owning projects and meeting deadlines come naturally to you. The ever-evolving nature of data excites you, and with your fluent English communication skills, you're adept at conveying insights. Expertise in automotive and/or automotive data is highly advantageous, as understanding the intricacies of car brands and models can offer a significant advantage.

Your Motivation: Your passion lies in analyzing automotive data. Curiosity drives you to spot the latest trends and there's a special place in your heart for creating user-friendly data visualizations."
Machine Learning Developer,"MindPal · Odense, South Denmark, Denmark  1 month ago  · 64 applicants","About the job
We are looking for Machine Learning Developer

Job Responsibilities

Working on machine learning projects 
Analyzing and processing data to create machine learning models 
Implementing and optimizing machine learning algorithms 
Testing and evaluating models 
Collaborating with the programming team and other departments within the company to develop innovative solutions 

Requirements

Minimum 2 years of experience in the field of machine learning 
Knowledge of machine learning algorithms and techniques 
Ability to analyze and process data 
Familiarity with machine learning tools and technologies 
Proficient in English communication 
Education in computer science 

We Offer

B2B contract type 
Full-time employment 
Remote and flexible working hours"
Machine Learning Developer,"MindPal · Århus, Middle Jutland, Denmark  1 month ago  · 57 applicants","About the job
We are looking for Machine Learning Developer

Job Responsibilities

Working on machine learning projects 
Analyzing and processing data to create machine learning models 
Implementing and optimizing machine learning algorithms 
Testing and evaluating models 
Collaborating with the programming team and other departments within the company to develop innovative solutions 

Requirements

Minimum 2 years of experience in the field of machine learning 
Knowledge of machine learning algorithms and techniques 
Ability to analyze and process data 
Familiarity with machine learning tools and technologies 
Proficient in English communication 
Education in computer science 

We Offer

B2B contract type 
Full-time employment 
Remote and flexible working hours"
Machine Learning Developer,"MindPal · Ålborg, North Jutland, Denmark  1 month ago  · 48 applicants","About the job
We are looking for Machine Learning Developer

Job Responsibilities

Working on machine learning projects 
Analyzing and processing data to create machine learning models 
Implementing and optimizing machine learning algorithms 
Testing and evaluating models 
Collaborating with the programming team and other departments within the company to develop innovative solutions 

Requirements

Minimum 2 years of experience in the field of machine learning 
Knowledge of machine learning algorithms and techniques 
Ability to analyze and process data 
Familiarity with machine learning tools and technologies 
Proficient in English communication 
Education in computer science 

We Offer

B2B contract type 
Full-time employment 
Remote and flexible working hours"
IT Graduate Programme - Multinational Company,"Gradfuel · Kongens Lyngby, Capital Region, Denmark  8 hours ago  · 1 applicant","About the job
We are searching for exceptional graduate trainees to join our IT Graduate Programme.

Our Information Technology function provides efficient business applications, processes and tools.

Our services include amongst others: IT operation, support and service, business analysis, procurement, development, test and systems integration, engineering and installation, training, and continuous improvement through user groups.

We are committed to a Global IT Strategy that enables us to leverage economies of scale in the regions where we operate to create maximum value for our company stakeholders. A unified IT strategy allows our people to communicate efficiently, share common IT services and protect us from growing cyber threats.

Requirements

We are looking for students who are currently enrolled in or have recently graduated from a Bachelor’s or Master’s degree, ideally in:

Computer Science
Information Technology
Engineering

Are you available to start in 2024? Then you are welcome to join us, the programme has a flexible start date from January to December, depending on your availability. Don’t miss this opportunity to shape your career and apply today.

We are looking for individuals who possess the following skills:

Flexible and adaptable
Strong influencing and decision-making skills
Professional attitude keen to develop and build relationships with stakeholders 
Ability to get things organised
Experienced in working with a high level of trust and integrity
Demonstrates common sense, work on own initiative as well as part of a team, with a willingness to work for the benefit of the team as a whole
Must demonstrate a high level of accuracy in all tasks, strong attention to detail, analytical, meticulous and efficient whilst under pressure
Strong communication skills
Aptitude to learn new skills"
IT Graduate Programme - Multinational Company,"Gradfuel · Copenhagen, Capital Region, Denmark  8 hours ago  · 1 applicant","About the job
We are searching for exceptional graduate trainees to join our IT Graduate Programme.

Our Information Technology function provides efficient business applications, processes and tools.

Our services include amongst others: IT operation, support and service, business analysis, procurement, development, test and systems integration, engineering and installation, training, and continuous improvement through user groups.

We are committed to a Global IT Strategy that enables us to leverage economies of scale in the regions where we operate to create maximum value for our company stakeholders. A unified IT strategy allows our people to communicate efficiently, share common IT services and protect us from growing cyber threats.

Requirements

We are looking for students who are currently enrolled in or have recently graduated from a Bachelor’s or Master’s degree, ideally in:

Computer Science
Information Technology
Engineering

Are you available to start in 2024? Then you are welcome to join us, the programme has a flexible start date from January to December, depending on your availability. Don’t miss this opportunity to shape your career and apply today.

We are looking for individuals who possess the following skills:

Flexible and adaptable
Strong influencing and decision-making skills
Professional attitude keen to develop and build relationships with stakeholders 
Ability to get things organised
Experienced in working with a high level of trust and integrity
Demonstrates common sense, work on own initiative as well as part of a team, with a willingness to work for the benefit of the team as a whole
Must demonstrate a high level of accuracy in all tasks, strong attention to detail, analytical, meticulous and efficient whilst under pressure
Strong communication skills
Aptitude to learn new skills"
Do we need you and we don't even know it yet?,"Better Collective · Capital Region, Denmark  7 months ago  · 946 applicants","About the job
Thank you for visiting Better Collective. We are happy to know that you want to be a better and take part in our journey to become the leading digital sports media group. We always like to hear from you and if you did not find your dream job among our open positions do not hesitate to send us an unsolicited application.

Please apply in English. We only accept and process applications via our online recruitment system, so please apply using the ""Apply"" button. Should we afterwards post your dream job make sure to apply directly to this job even though you are already in our candidate database.

Be sure to fill in all mandatory fields when applying, including which one of our many offices around the world you would prefer to work from. Also, please include a description of your motivation for applying with us and describe what you are interested in working with. The more you are able to elaborate on your interests the more we are able to find the right match for you. When you receive a confirmation you can rest assured that we shall contact you if we would like to learn more about you.

Thank you for your time - we really appreciate your interest in Better Collective.
Desired Skills and Experience
Be sure to fill in all mandatory fields when applying, including which one of our many offices around the world you would prefer to work from. Also, please include a description of your motivation for applying with us and describe what you are interested in working with. The more you are able to elaborate on your interests the more we are able to find the right match for you. When you receive a confirmation you can rest assured that we shall contact you if we would like to learn more about you.

Thank you for your time - we really appreciate your interest in Better Collective."
"Home based work for Ms excel,Data Entry Executive work",V-Tech Data Outsourcing · Greater Odense Area  14 hours ago  · 15 applicants,"About the job
This job is sourced from a job board. Learn More
Hi

Greetings for the day!!!

V- Tech Data Outsourcing

*Home Based Offline / Online/ Manual Jobs*

Are You Looking For The Best Legitimate Genuine Online/Offline Part Time/Full Time

Work From Home Jobs In India? If Yes You Are Welcome

We Are Leading In This Field Since 2018 Start 4 Type Home Based Data Entry Work.

Take First Step to

Earn The Income You Deserve!-

We have providing Four types of projects that you can easily do such as -

Home Based Jobs.

Simple Offline Typing ( per page 100 Rs/- )
Manual Form Filing Work (Handwriting Per page 100/-)
Excel Numerical Entry (6 Rs/ Per Rows...)
 Digital Form Filing (4 Rs/ Per Form...)

Job Features

 No Hard Target
 No Internet Required To Do Job At Home/Office.
Can work in group also.
 Hassle free payment guarantee.

Payment Guarantee will be given in written.

Earn Up to Rs.15,000/ TO 65,000/- per month

Students/housewives/Job seekers can apply

You can work in groups also.

 Any query or help please contact our team Call / WhatsApp - HRNeha : 9594356005

( mon. to sat. 11am to 6pm Sunday closed)

Regards ,

V- Tech Data Outsourcing

This job is provided by Shine.com"
Research Internship,"Nova Founders Capital · Copenhagen, Capital Region, Denmark  3 months ago  · 15 applicants","About the job
Do you want to kickstart and get ahead in your career? Are you looking for challenges and want to invest in your professional and academic development? Do you want to be part of an exceptional entrepreneurial team with young, motivated and extremely driven people? If so, now is the time to apply for our 1-year Global Internship Program.

About Us

Nova Founders Capital is a global operational investment company that identifies opportunities for creating and investing in innovative internet businesses. We've launched and exited multiple successful businesses across the world.

What we offer you

As part of our Global Internship Program, you will rocket launch your career in a high-paced environment with a continuously steep learning curve. You'll get a tremendous level of autonomy, ownership of your own projects, and the opportunity to learn, develop and grow both personally and professionally, whilst being supported by very successful entrepreneurs. You get the chance to test the water, show us you can swim, and if so you'll be rewarded with an invitation to join our Management Trainee Program, where you'll pursue a bachelor's degree while working full time as a manager in Nova Founders Capital.

The Global Internship Program lasts 1 year, and you'll be working out of our HQ in London. In short, we offer the brightest talents:

An opportunity to fast track your career through responsibility for high impact projects that constantly push you out of your comfort zone
Hands-on experience building and scaling ventures together with the sharpest minds
An amazing network and the possibility of reporting directly to C-level staff and Managing Directors
An opportunity to be trusted with tasks usually reserved for individuals with multiple years of work experience. 
A monthly contribution to cover living costs

Your responsibilities

The common denominator for all of our interns is that they are involved in everything from the most mundane to the most glamourous. Some of your tasks will include office management; e.g. scheduling meetings and making sure the office is looking its best. At the same time you will be assisting our global portfolio CEOs with ad hoc tasks and participate in board meetings. Besides that your responsibilities will vary depending on the specific role you'll be assigned. Depending on the role you take, responsibilities could entail (e.g.):

Supporting our recruitment function covering both candidate sourcing as well as scheduling and speaking with possible candidates
Being part of speaker booking which means building and maintaining valuable relationships with our speakers
Working on marketing and SoMe content creation by developing, implementing and managing social media and marketing strategy; including defining the most important social media KPIs and both managing and overseeing social media content
Working with finance; carrying out weekly cash, P&L, AR and AP reporting

What we expect from you

You possess an unparalleled work ethic with a high sense of urgency. You have a relentless drive and desire to be the very best at what you do. You take ownership of everything you do, are proactive and follow through on commitments. Moreover, you're humble and you share our passion for building and executing new businesses. Furthermore, we expect that you:

Finished high school/college with outstanding results
Experience from working part-time or from extracurricular activities
EU work permit
Have Danish as native language
You have an exceptional attention to detail
You possess exceptional analytical and problem solving skills
You're excellent at communicating both written and verbally

Start date: As soon as possible

Apply here and we will be in contact in the nearest future."
