job_title,name_location,job_description
Software & Data Engineer intern or working student (m/f/x),"UnternehmerTUM · München, Bavaria, Germany  4 days ago  · 48 applicants","About the job
About Us

UVC Partners is a leading Munich- and Berlin-based early-stage venture capital firm that invests in European B2B tech start-ups from pre-seed to series A. With about € 400 million assets under management, UVC Partners typically invests between € 500,000 and € 10 million initially and up to € 30 million per company. The portfolio includes category leaders in deep tech, climate tech, hard- and software, and mobility with various technologies and business models. As an independent partner of UnternehmerTUM, Europe's most extensive innovation and startup center, UVC Partners has access to proprietary deal flow, an industrial network of more than 1,000 corporates, and access to talent from the leading European technical university. The investments include Flix, Vimcar, planqc, Tanso, Isar Aerospace, TWAICE, DeepDrive, FINN, STABL, and many more. They all benefit from the team's extensive investment and exit experience, their ability to build sustainable category leaders with a competitive advantage, and their passion for growing the game changers of tomorrow.

Learn more at www.uvcpartners.com

Your mission

We are looking for a “dynamic duo” (1 software engineer & 1 data engineer) who support UVC Partners on our journey to become a genuinely data-driven VC. The goal is to set up a database and automate data collection processes. This is one of our priority projects and you will work closely with our investment team. You can shape this project and bring in all your creativity; we welcome your input! It is a great opportunity to combine an exciting data & software project with learning about venture capital and deal making. Join us on this project in one of two roles.

Workplace: Munich

Start date: asap

Duration: minimum 5 months

Your profile

Task Description:

1 x DATA ENGINEER: 

Build a database for structured historic data.
Build a data pipeline which extracts, transforms and structures different data sources
Set up output interface to access the data

Your Profile:

Deep knowledge of database management solutions and ability to set up new DBs (e.g. MongoDB, MySQL, etc.)
Experience working with data APIs (e.g. REST, GRAPHQL, etc.)
High level of intellectual curiosity, a self-starter, and a growth mindset.
Bonus: Confidence with full stack programming or scripting languages.

Task Description:

1 x SOFTWARE ENGINEER: 

Set up and automate data extraction/crawling processes
Support automating the data pipeline (in collaboration with data engineer)
Build a graphical user interface to filter and visualize data or set up a tool to accomplish the aims of the UVC investment team

Your Profile:

Full-stack development experience
BI experience (e.g. Looker)
Knowledge of version control systems (e.g. Github, Gitlab, etc.)
High level of intellectual curiosity, a self-starter, and a growth mindset.
Optional: Familiarity with non-technical crawler frameworks (Scrapy, Octoparse) and process tools (Integromat)

What we offer

Mentorship – Be paired with one senior member of our investment team over the course of the program with regular 1-to-1 sessions 
Coaching – You will be supported and coached by an investment team member in dedicated sessions on a weekly basis 
VC Trainee Program – Take part in our unique 10-month venture capital traineeship program covering all aspects of the job of a venture capital investor 
Ownership – You will be part of the deal team of at least one new investment where you will get insights into the full investment process and you will own and drive parts of it 
Network – Be part of Europe’s largest entrepreneurship center, UnternehmerTUM, to equip you with perspectives and contacts to leapfrog your startup or investing career 
Insights – You will get first-hand insights into the way successful startups are built, as well as why and how venture capitalists invest in them
Purpose – Support the next generation of entrepreneurs in pursuing their dreams and driving positive and sustainable change through innovation and technology
Perks – Join our free sports classes in the Munich offices and our monthly team dinners as well as team offsites

Contact

Please apply directly by uploading your CV & transcripts.

Also, instead of a cover letter, please provide a short blurb stating:

 which of the two roles you are applying for 
 why you are the right candidate for the role 
 why you are excited to support in this project
 when would you like to start
 are you looking for a job remote or onside

Unternehmertum Venture Capital Partners GmbH

Lichtenbergstrasse 6, 85748 Garching (Munich), Germany 

Apply now"
Teamleitung HR Administration,"Neumann Executive · Bruchsal, Baden-Württemberg, Germany  2 weeks ago  · 146 applicants","About the job
Ihr zukünftiges Unternehmen 
 Unser Kunde ist ein innovatives und wachsendes Technologieunternehmen mit einem einzigartigen Produkt mit Sitz im Raum Karlsruhe.

Anforderungen
Deine erfolgreich abgeschlossene kaufmännische Ausbildung oder Universitätsabschluss hast du im Personalwesen vertieft
Du besitzt idealerweise eine Zusatzqualifikation im Bereich Human Resources, z.B. Personalfachkaufmann/-frau
Im Idealfall hast du erste Führungsverantwortung gehabt, ggfls in einer stellvertretenden Funktion oder bei einer Projektleitung
Gerade in den Spezialgebieten wie Compensation und Benefits, Steuer- oder Sozialversicherungsrecht besitzt du eine hohe Kompetenz
Besonders auf den Gebieten Compensation and Benefits, Steuer- oder Sozialversicherungsrecht besitzt du eine hohe Kompetenz und hast gute Kenntnisse des deutschen Arbeitsrechts
Proaktiv, entscheidungsfreudig und strukturiert gehst du deine Arbeit an und hast Freude an der lösungsorientierten Zusammenarbeit im Team
Du besitzt eine Systemaffinität, bist im Umgang mit HR-Systemen und deren Prozessen vertraut und findest dich schnell in neue Anwendungen ein
Nach fundierten Berufserfahrungen im HR Umfeld suchst du jetzt nach einer neuen Herausforderung in einem dynamischen Umfeld in dem du mit deinen Erfahrungen und Kenntnissen glänzen kannst
Du bist bereit, gelegentlich und planbar (ca. 1x-2x im Quartal) an andere Standorte zu reisen
Du bist freundlich, hilfsbereit und souverän - auch wenn es mal komplexer wird
Du kommunizierst fließend auf Deutsch und Englisch
 Verantwortlichkeiten
Du übernimmst die Führung und Verantwortung für dein Team aus Personalsachbearbeitern/-innen und entwickelst dieses weiter
Mit Ihrem Team erledigen Sie die administrativen/operativen HR-Aufgaben für das gesamte Unternehmen
Gemeinsam mit deinem Team stehst du den HR Business Partnern/-innen tatkräftig zur Seite und unterstützt diese bei der Wahrnehmung ihrer Personalbetreuungsaufgaben
Die administrative Abwicklung der Pre-, On- und Offboarding-Prozesse, z.B. Vertrags- und Zeugniserstellung, liegen in deinem Verantwortungsbereich
Auch die administrative Abwicklung bei der Einstellung ausländischer Mitarbeitenden betreust du, z.B. bei Visaangelegenheiten bzw. bei der Einholung von Arbeitserlaubnissen
Bei der Weiterentwicklung der HR-Systeme und Digitalisierungsprozessen übernimmst du eine führende Rolle
Du stehst im regelmäßigen Kontakt mit der Lohn- und Gehaltsabrechnerin und stellst den notwendigen Informationsfluss für die korrekte Abrechnung sicher
Du kooperierst mit den verschiedensten Stakeholdern - auch standortübergreifend – und berätst diese zu administrativen und operativen HR-Themen
Insgesamt stellst du sicher, dass Mitarbeitenden eine positive Erfahrung bei der Abwicklung ihrer HR-Anliegen erleben
 Angebot
Unser Kunde weiß, dass kostenloser Kaffee und Obstkorb heutzutage zum Standard gehören. Neben einem leistungsgerechten und der Verantwortung angemessenen Gehalt bietet unser Kunde folgende Benefits an:
Komplett kostenloses Mittagessen für dein leibliches Wohl
Eine zeitgemäße Büroeinrichtung mit höhenverstellbaren Tischen
Expertenunterstützung bei Krisen im Leben damit du nicht komplett alleine gelassen wirst
Betriebliche Altersvorsorge, JobRad, usw.
Viele Firmenevents für einen guten Austausch im Unternehmen
Eine Position die eine wichtige Stellung im Unternehmen einnimmt bei der du viel selbst gestalten kannst"
Senior Presales Consultant,Flip · Stuttgart Region Reposted  1 month ago  · 843 applicants,"About the job
Empowering every employee!

Flip‘s mission is to be the world's most used employee app by changing the way frontline employees work.

Flip have a clear goal: to revolutionize the world for frontline workers and give them a voice. Become a Flip Game Changer and work with an unbeatable team to ensure that all employees, no matter where they work, have access to their company's internal information. If you're ready to make an impact and shape the work lives of millions of people, then you've come to the right place!

Job Description

-As part of the Pre-Sales team, you will support our Account Executives in all technical matters, serve as the intersection to our product department and train our sales people in the technical area. 
-You are experienced in the support of software projects & integrations or have had contact points with technical departments (Operations, Development). 
-Also you bring excellent relationship building skills with you. 
-Your analytical skills will enable you to understand our customers' goals and unique challenges, and will be instrumental in ensuring they take full advantage of their employee app and experience the highest level of service and engagement with Flip.

 

What awaits you:

You will…

-provide technical consulting/conceptual services in the sales process
-empower our sales team to confidently answer technical questions
-represent the interface between our sales, product and development team
-provide insights into the technical aspects of implementation, usage and optimization
-help to build sustainable processes for the entire pre-sales process
 

What you bring to the table:

You...

-have a technical background through your studies or professional experience, coupled with sales experience of software solutions or, in the best case, already with SaaS solutions
-have excellent communication skills with leads and are able to handle challenging conversations in a professional way due to your (pre-)sales experience
-have a good understanding of operational processes in an agile environment
-can understand and explain concepts around SSO, master data provisioning and integration, ideally with insight into enterprise IT architecture
-are a team player with a hands-on mentality, team dynamics is a key success factor for you
-can train employees and ideally already have experience in leading workshops
-do not want to spend your working day in just one place and are willing to travel to a certain extent 
-bring excellent English and German skills with you


Nice to have:

-you have sales experience, 
-ideally SaaS B2B experience
 

Additional info:

What we offer you...

-Home Office Friendly: Decide for yourself where you want to work every day
-Modern city offices in Berlin, Cologne and Stuttgart or 100% remote: Both are possible with us, we at -Flip have a hybrid work model!
-Work-Life-Balance: We don't want you to grow roots to your desk chair. That's why we cover the costs of your E-Gym-Wellpass membership, enable you to buy a job bike or offer a monthly massage service in the office.


Celebrating success: 
Expect highly motivated and committed people in a relaxed working atmosphere.
Be part of something bigger: You actively shape Flip in your role. Along the way, you are an enabler of the rapid growth process of a young tech company and grow towards your goals. Fun is guaranteed!
Happy to be a Flipster: Stay tuned for regular team events, buddy lunches and culture days that bring us together as Flipsters.
Working abroad: At Flip you can also work abroad in the European Union. Let's talk about remote work in the interview.
 

At Flip, everyone is welcome - no matter what gender you identify as or how old you are. Sexual identity, origin, religion, world view and disabilities do not influence your potential job at Flip. The most important thing is that YOU fit in!"
Junior EHS Consultant (m/w/d),Red-on-line · DACH  2 weeks ago  · 82 applicants,"About the job
Die Infopro Digital sucht für Red-on-line EHS Consultant (m/w/d).
Seit 1999 bietet Red-on-line an mehr als 10.000 Industriestandorten in 70 Ländern Lösungen im Compliance Management für Umwelt- und Gesundheitsbestimmungen. Das Expertenwissen von Red-on-line umfasst Content, Consulting und Software. Wir sind führender, innovativer Anbieter einer EHS Rechts- und Arbeitsschutzmanagement-Software einschließlich zugehörender Dienstleistungen, die wir vornehmlich in Österreich, Deutschland und Schweiz erfolgreich anbieten. Um unser Angebot an Rechtsinhalten weiter zu verbessern und zu erweitern, vergrößern wir unser Team. Weitere Informationen können Sie unserer Homepage www.red-on-line.de entnehmen.

Zur Verstärkung unseres Teams suchen wir Sie in den Ballungsgebieten in Deutschland sowie Österreich als EHS Consultant (m/w/d) im Umwelt-, Arbeit- und Gesundheitsschutz, Vollzeit und home-based.

Die Schwerpunkte Ihrer Tätigkeit sind

Durchführung von Audits zur Einhaltung von Vorschriften in allen EHS-Bereichen Umwelt-/Arbeits-/Gesundheitsschutz und Compliance
Beratung unserer Kunden hinsichtlich der individuellen gesetzlichen Anforderungen und entsprechender Umsetzung auf deren Kundenbedürfnisse
Unterstützung unserer Kunden im kontinuierlichen Verbesserungsprozess im Bereich EHS Eigenständige Übernahme von speziellen Aufträgen (Risikoanalyse, Umsetzung neuer Vorschriften, Konfiguration der Plattform, normatives Audit usw.), wenn diese vom Kunden beauftragt werden
Regelmäßige Teilnahme und Mitwirkung an Schulungspräsentationen zu unseren Produkten und Tools


Das zeichnet Sie aus

Abgeschlossenes Masterstudium im Bereich Umwelt und EHS-Compliance oder zeitnahe, erfolgreiche Beendigung des Studiums
Berufliches Hintergrundwissen im gesetzlichen Bereich der EHS-Regulatorien, im Besonderen mit dem Schwerpunkt auf die Industriebranche
Kommunikationsstärke und Anpassungsfähigkeit an unterschiedlichste Kundenbedürfnisse und Branchen
Sehr gutes Verständnis einschlägiger internationaler Normen im EHS-Bereich
Systematisches, gewissenhaftes, zielorientiertes und selbstständiges Arbeiten
Kundenorientierte Arbeitweise und Motivation, die Standorte der Kunden wöchentlich zu besuchen
PKW-Führerschein
Sie verfügen über einen festen Wohnsitz in Deutschland oder Österreich
Sehr gute Deutschkenntnisse in Wort und Schrift sowie gute Englischkenntnisse runden Ihr Profil ab


Wir bieten Ihnen

Unbefristetes Arbeitsverhältnis
Flexible Arbeitszeiten, durch die eine gute Vereinbarkeit der beruflichen und privaten Interessen gewährleistet ist
30 Tage Erholungsurlaub
100% Homeoffice
Eine verantwortungsvolle Aufgabe in einem innovativen, stark wachsenden Unternehmen
Eine persönliche, individuelle Einarbeitung mit fachlicher Begleitung
Einbindung in ein motiviertes und freundliches Team, in dem Arbeiten Spaß macht
Möglichkeit zur persönlichen Weiterentwicklung und Übernahme von eigenständigen Verantwortungsbereichen bei entsprechender Eignung
Zahlreiche Benefits (z.B. Teamevents etc.)


Bewerben Sie sich jetzt - wir freuen uns auf Sie!

Wenn Sie neben abwechslungsreichen und herausfordernden Aufgaben die Arbeit in einem motivierten und freundlichen Team suchen, sind Sie bei uns genau richtig. Wir bieten Ihnen einen sicheren Arbeitsplatz, vielfältige Entwicklungsmöglichkeiten und ein modernes Umfeld.
Bitte senden Sie Ihre aussagekräftigen Bewerbungsunterlagen mit Angabe Ihrer Gehaltsvorstellung, bevorzugt über das Online Bewerbungsformular oder per E-Mail an: bewerbung@infopro-digital.eu

Bewerbungen von Menschen mit Behinderung sind ausdrücklich erwünscht.
Schwerbehinderte und Gleichgestellte werden bei gleicher Eignung bevorzugt eingestellt.

Red-on-line
Linda Rathmann
Bahnhofstraße 5
48143 Münster
_____

Infopro Digital ist eine B2B-Gruppe, die auf Information und Technologie spezialisiert ist. Die Gruppe ist in 18 Ländern vertreten und hat 4.000 Mitarbeiter aus 55 Ländern.
Infopro Digital verbindet professionelle Gemeinschaften.
Unsere Marken sind führend in den fünf wichtigsten Wirtschaftssektoren: Bauwesen und öffentlicher Sektor, Automobil, Industrie, Risiko & Versicherung und Einzelhandel.
Mit unseren Lösungen treffen Entscheidungsträger fundierte Entscheidungen und Unternehmen entwickeln ihr Geschäft und ihre Leistung auf nachhaltige Weise."
Data-Engineer (m/w/d),"Finanzamt Kassel · Cassel, Hesse, Germany  4 hours ago  · 2 applicants","About the job
This job is sourced from a job board. Learn More
Data Engineer (m/f/d)

About Us

With more than 12,000 employees in the 33 Hessian tax offices and the Higher Finance Directorate Frankfurt am Main, the Hessian tax administration is a modern, high-performance administration characterized by team spirit, which successfully acts against tax crime and illegal tax avoidance and ensures citizen-oriented and performance-oriented for tax justice.

In the Research Center for Artificial Intelligence (FSKI) of the Tax Office Kassel, a position as Data Engineer (m/f/d) is available as soon as possible.

To break new ground with the latest technology, innovatively and responsibly, and thus contribute to strengthening tax justice - for this purpose, the Research Unit Artificial Intelligence, which is part of the Tax Investigation Unit of the Kassel Tax Office, was founded in 2019.

In an interdisciplinary team of computer scientists and tax experts, the FSKI supports the analysis and evaluation of the permanently increasing amounts of data. It develops tools and methods to further establish AI techniques, especially under the aspects of Big Data, Data Mining and Machine Learning. In this way, the FSKI supports the daily work of the tax investigation unit and that of the Hessian tax administration as a whole.

Your tasks

 You drive the digitization of the Hessian financial administration significantly forward 
 Within this framework, you design and develop a modern data infrastructure for the FSCI 
 You are responsible for all topics related to ""Data"" - from storage technologies to ETL pipelines 
 You contribute to AI projects in a team with DataScientists and ML Engineers and support them in sourcing, pre-processing and provisioning of datasets 
 As a team player, you work in multidisciplinary teams, including with the dual computer science/IT forensics students at the University of Kassel 

Our requirements

 You bring a completed master's degree in computer science or a comparable field or have acquired equivalent skills and experience through other means 
 You are very familiar with the environment of databases, DataWarehouses or DataLakes and have no problems using SQL as well as larger frameworks such as Spark 
 You also have experience with ETL pipelines and e.g. Kubeflow, Kafka or comparable technologies 
 Ideally, you have already gained experience with data engineering in the AI environment 
 You are technology savvy and like to share your knowledge with others 
 You have a good oral and written expression in the German language 
 You are characterized by a high degree of responsibility, initiative, decisiveness and team spirit 

Our offers

 A crisis-proof and permanent employment relationship in the pay group 14 TV-H 
 Annual special payment 
 Company pension scheme 
 Child allowance(s) 
 A state ticket for free use of local and regional public transport in Hesse (initially limited until the end of 2024). 
 Flexible working hours 
 Continuing education and training 

General notes

We promote equality between women and men and are therefore particularly interested in applications from women. Applications from severely disabled persons will be given preferential consideration in the event of equal suitability. People from different cultural backgrounds live in Hesse. We would like this cultural diversity to be reflected in the tax administration and therefore encourage people with a migration background to apply to work for us.

For technical queries or questions about the application process, please contact Christian Voß,

Tel: 0561 / 7208 2207 at the tax office Kassel gladly available."
Data Engineer/Data Analyst / Data Scientist,"TieTalent · Frankfurt an der Oder, Brandenburg, Germany  4 days ago  · 111 applicants","About the job
Company

About

Unternehmen suchen Mitarbeiter für den deutschen Markt.

Perks & Benefits

Vacancy

Who you are Your tasks

 Deutschlandweit (Berlin, Stuttgart, Hannover, München, Hamburg, Frankfurt, Köln) oder Remote, Deutschland"
Junior Developer (f/m/d),"ROBUR Industry Service Group GmbH · Weinheim, Baden-Württemberg, Germany  4 hours ago  · 1 applicant","About the job
This job is sourced from a job board. Learn More
IT starts with you

Junior Developer (f/m/d)

Location: Weinheim or at one of our locations throughout Germany

Type(s) of employment: Full time

Your Tasks

 Realisation of sustainable solutions for our renowned customers
 Design and implementation of solutions with web, mobile and application server technologies
 Implementation of varied use cases, interfaces, system integrations, or solutions from the IoT
 Assumption of responsibility within the agile team for technical topics
 Support in the exciting environment of enterprise asset management solutions based on IBM Maximo, HxGN EAM or our own products

Your Profile

 You have successfully completed a degree in (business) informatics or comparable training
 You have already gained initial experience with common development tools, in software development (preferably with Java, JavaScript or Ext JS) and in dealing with relational databases and SQL
 You have a basic understanding of technological methods such as web services, APIs, microservices, REST or JEE.
 You have a convincing appearance and very good communication and presentation skills in German and English

We Offer

 Flexible working hours and mobile working
 Budget and time for regular training
 Defined career stages and annual appraisal interviews
 Know-how transfer in the RODIAS Bootcamp at entry level
 Company celebrations, team events and other attractive offers
 Offer of various models of a company pension scheme
 Corporate benefits and additional payment for public transport ticket
 Company fitness with TSG Weinheim and free drinks and fruit in the office

We are RODIAS, an IT service company and we drive the digitalization of industry. With agile processes, flat structures and innovative approaches, we build Industry 4.0 for our customers on the basis of diverse IT technologies. We implement new solutions, operate and support IT systems and develop our own products. Since 1984, we have been a recognized and independent specialist for consulting, conception, optimization and implementation of solutions in the field of EAM - Enterprise Asset Management and Asset Lifecycle Management. We are one of the leading companies in the German market.

RODIAS is part of ROBUR Industry Service Group, the specialist for high-quality industrial services in the wind, water, energy, industrials and process industry segments. More than 3,000 colleagues worldwide form a powerful team and create holistic solutions for planning and realization, through installation, operation and maintenance to relocation and dismantling. In this way, we support our customers in meeting the challenges of the digital transformation and the ecological change of industry.

Would you like to help us become even more visible and successful in our market?

Contact details for job advertisement

RODIAS GmbH

Katharina Rederath

+49 6201 50373

Department(s): RODIAS GmbH"
Data Analyst (m/w/d),"Köln Bonn Airport / Cologne Bonn Airport · Cologne, North Rhine-Westphalia, Germany  4 hours ago  · 8 applicants","About the job
This job is sourced from a job board. Learn More
Data Analyst (m/f/d)

Cologne Bonn Airport | Flughafen Köln/Bonn GmbH

Data Analyst (m/f/d) part time or full time

51147 Cologne

Full time / Part time

Fasten your Seatbelts!

Our airport is a meeting place for people from all over the world. We are the logistical heart of NRW and connect the Rhineland with more than 120 exciting destinations in Europe and beyond. In #TeamCGN, appreciation, responsibility, sustainability, innovative spirit and team spirit count. Together we are developing the mobility of tomorrow.

We offer you an exciting and varied challenge in a dynamic environment as a

Data Analyst (m/f/d) part-time or full-time

In the Market Research & Statistics department of the Sales & Marketing division.

Your Responsibilities

 As a Data Analyst (m/f/d) you will be responsible for the analysis, visualization and preparation of aviation data such as the conception and implementation of reports, dashboards with BI tools, execution of statistical data analyses (e.g. R, Python), analysis of customer, competitor and market data, interpretation as well as the preparation of analyses for internal and external target groups. 
 One of your main tasks is quality assurance, data development and optimization of processes such as quality assurance of air traffic data (completeness, consistency, etc.), identification of improvement potentials, collaboration in the optimization of processes and the development/connection of new data sources as well as the preparation and modeling of data. 

Your Background

 You bring a degree in business informatics or a comparable degree related to data analysis/statistics and at least 5 years of practical work experience in the field of data analysis/business intelligence. 
 You have excellent knowledge in the use of visualization tools (e.g. Power BI, Kibana) and very good knowledge in data analysis (e.g. Python, R). 

The Deal

 Open, appreciative culture. Flat hierarchy. Great company events. 
 Tariff security: TVöD with 39 hours per week incl. time recording to the minute, flextime, day service, mobile office and 30 days of vacation. 
 Payment according to pay group 12 of the collective agreement for the public service (TVöD-F VKA) and an almost entirely employer-funded company pension. 
 Free choice: 50% subsidy for the Deutschland-Ticket or VRS-Jobticket incl. the transition areas. 
 Discounts with tour operators, partner gas station, corporate benefits and many other benefits. 
 ""Job&Fit""-certified canteen, bike leasing, extensive fitness offers via qualitrain. 
 Free parking at the airport during working hours. 

Ready for Take-off?

Please email your application materials with the subject line CGN 1163-B to: rena.bauernfeind@koeln-bonn-airport.de

www.koeln-bonn-airport.de"
QA Test Engineer,"TieTalent · Stuttgart, Baden-Württemberg, Germany  4 days ago  · 72 applicants","About the job
Company

About

The hiring company is a German company active in the Digital Marketing industry. The company is looking for an IT Technician - Test Engineer for personalization platforms.

Perks & Benefits

Vacancy

Who You Are

Successfully completed studies in the field of computer science or comparable subjects 
Very good knowledge of JavaScript and initial experience with SQL and Python
Experience with cloud technologies 
Good in English (B2+) and German (B1+) 

Your tasks

Support the roll-out of campaigns and personalization measures
Test preparation: test scenarios, test cases and test data
Development of tools and processes that facilitate the test procedure
Support the further development of our test automation frameworks
 Stuttgart , Deutschland 

Nice-to-have skills

 JavaScript 
 QA 
 Test Automation 
 Cloud technologies 
 Agile is a plus"
Working Student Business Intelligence / Power BI,"Advantest · Böblingen, Baden-Württemberg, Germany  4 days ago  · 49 applicants","About the job
Do you want to work on projects that transforms Business Intelligence to the next level of digitalization?

Advantest is growing their Field Service Business Administration team tasked to transfer their Financial Reporting and Financial Analysis processes into Microsoft Power BI. As a Business Intelligence working student you will develop concepts & methods to make decentralized data available and enable data analytics for the entire organization.

Your Responsibilities

Develop, implement and test financial Power BI reports
Contribute and support key user trainings
Contribute to the development of interactive dashboards with Microsoft Power BI
Support in the consolidation and preparation of available data sources and optimize the quality and consistency of the data

Requirements

 Bachelor Study of Business Administration, Information Technology, or comparable field of study
In your study focus on Business Intelligence, Business Analytics, Controlling or Data management is helpful
Strong customer focus attitude and ability to understand customer requests and implementation
Working experience in Microsoft Power BI is required
Basic knowledge of Database Management Systems and of Data Warehouse techniques
Team player with good communication skills
Good English language skills are required"
