job_title,name_location,job_description
"Internship, Ninja Mart","Ninja Van · Subang Jaya, Selangor, Malaysia  4 days ago  · 11 applicants","About the job
Ninja Van is a tech-enabled logistics company on a mission to provide hassle-free delivery services for businesses of all sizes across Southeast Asia. Launched in 2014, we started operations in Singapore and have become the region's largest and fastest growing last-mile logistics company, partnering with over 35,000 merchants and delivering more than 1,000 parcels every minute across six countries.

At our core, we are a technology company that is disrupting a massive industry with cutting-edge software and operational concepts. Powered by algorithm-based optimisation, dynamic routing, end-to-end tracking and a data-driven approach, we provide best-of-class delivery services that delight both the shippers and end customers. But we are just getting started! We have much room for improvement and many ideas that will further shape the industry.

Launched in Feb 2021, Ninja Mart is Ninja Van's first FMCG-focused logistics unit connecting brands with retailers in suburban and rural regions of Vietnam and Malaysia, unlocking endless possibilities for business expansion in this fast-growing region.

To know more details about the business please check our website: ninjamart.co

Looking for an internship placement in a fun and vibrant environment? We're excited to invite you to join us on an internship program where you can gain hands-on experience in this dynamic industry, learn from our expert team, and contribute to our mission of expanding business opportunities in Southeast Asia. We will provide you the internship experience where you will be getting a great exposure in headquarters operations in the logistics and distribution industry.

Opening Internship Program As:

Business Operations Intern

This role will provide the intern valuable experience in Demand Planning & Supply Chain Management as well as Project Management. The intern will learn to be meticulous in their daily tasks and be comfortable dealing with large sets of data on a day to day basis. There is also a large reliance on google sheets in this department, and will be a useful skill which is also transferable to excel. The intern will be able to sharpen their problem solving skills and forward planning skills.

Responsibilities:

❖ Data Tabulation & Analysis.

❖ Utilizing data to fulfill day to day operations : Stock ordering & processing.

❖ Enforcing & potentially improving current processes throughout the business.

❖ Assist on adhoc projects, with the chance of taking on a project from start to finish.

Sales Operations Intern

In this internship program, you will learn the connections about how our sales operations and finance works. You will be the bridge between the ground team and finance department to connect with each other. This internship role will provide you the learning path to be meticulous in the daily tasks and build your interpersonal skills to be comfortable in communicating and dealing with sets of data on a day to day basis. This will be a great path for you to showcase and enhance your skills in Google Sheets (where we have a large reliance on this tool).

Responsibilities:

Matching Invoices and GRN in the B2B portal for multiple KA.
Perform cross checking on multiple documents and the systems.
Inject data to recon sheet and monitor documents uploaded from the ground team.
Assist on ad hoc projects, with a chance to learn more about how our business work.

Requirement

You must have a strong communication (writing and speaking) in Malay and English. 
Minimum internship placement 3 months.
Undergraduate in Degree and Diploma welcome to apply.

Submit a job application

By applying to the job, you acknowledge that you have read, understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection, use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorised by you to disclose your personal data to us for the purposes set out in the the Notice."
ICDC - Technology Intern - Systems Engineering - MY - KL / Penang,"Deloitte · Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia  1 day ago  · 9 applicants","About the job
At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clientsDate: 14 Oct 2023

Service Line / Portfolios: Enterprise Technology & Performance

Location:

Kuala Lumpur, MY

Who We Are

Deloitte Consulting Southeast Asia (SEA) is the largest consulting practice in Southeast Asia, with more than 2500 professionals across 8 geographies - Brunei, Indonesia, Malaysia, Myanmar, Philippines, Singapore, Thailand and Vietnam.

Our seamless regional set up provides our consultants with geographic mobility and exposure to diverse industries, people, and projects. We help our clients tackle some of the most complex problems in the world, providing end-to-end strategy, implementation, and operational solutions to first tier national players, MNCs, and Fortune 500 companies.

If you love challenges and value making an impact, we welcome you to apply!

What We Offer

We offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and community. Regardless of your aspirations, Deloitte offers you a highly inclusive and collaborative workplace with unrivalled opportunities to realise your full potential.

At Deloitte Consulting SEA, we are committed in providing you with the opportunity to:

 Excel  - Hone technical as well as leadership skills and make an impact by solving complex client problems

 Grow  - Grow your career by laying out multiple learning pathways and a clear progression path

 Network  - Meet and work with a diverse and iconic network of international colleagues and clients

 Belong  - Be a part of an inclusive community that respects diverse backgrounds, voices and interests

 Harmonise  - Experience an understanding working environment that prioritizes personal well-being

 What is Innovation & Cloud Development Centre (ICDC)? 

Cloud is transforming the way technology enables the business. It represents a radical shift in how IT services are obtained, used, and managed. Companies are navigating through the various cloud options and deciding between private, public, or a combination across different and dynamic provider ecosystems.

ICDC is a hub of development and delivery centres that augments the Deloitte Consulting Southeast Asia practice. We create cutting-edge solutions for clients across the region.

We offer a unique and exceptional career experience to inspire and empower talents in Software Engineering where we focus on building innovative technology and cloud solutions. You will have chance to work as front and full stack development mobile tech, API and low code development.

As a Technology Intern within ICDC team, you are part of a technology team who will do the systems and solution customization, and cloud development. You will put future-forward thinking into projects that push the edges of technology to support the change of our clients. You will establish and nurture positive working relationships with teams and clients with the intention to exceed client expectation.

 Work you’ll do: 

 Support systems and technology build and development working with the leads in designing, building, integration, and testing of the systems to meet the business and technical requirements 
 Facilitate documentation and communication for Program technical/engineering efforts and business stakeholders 
 Collaborate with Project Managers, Technical Leads, and Developers to monitor the integration of dependent technical systems per the implementation plan 
 Validate that the systems build fulfill business and technical requirements 
 Provide technical analysis, support, and guidance that adhere to Enterprise policies/standards for Project teams developing IT solutions at various SDLC phases 

About

 Enough about us, let's talk about you 

 Final year students in bachelor’s degree in the Computer Science, Software Engineering, Information Technology, or any related disciplines. 
 Knowledge in programming include Java, .NET, SQL, JavaScript, ReactJS, Mobile (React Native, Swift, Kotlin) 
 Knowledge of systems engineering and its applications 
 Experience in IT project management (e.g., schedules, risks/issues, reporting) 

Requisition ID: 100631

In Malaysia, the services are provided by Deloitte and other related entities in Malaysia (""Deloitte in Malaysia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Malaysia, which is within the Deloitte Network, is the entity that is providing this Website."
R&D Firmware Intern,"Keysight Technologies · Penang, Malaysia  2 days ago  · 2 applicants","About the job
Keysight is the world's leading electronic measurement company, helping scientists and engineers address their toughest technical challenges with confidence through innovations in wireless, modular, and software solutions. Our employees leverage their insight and passion to deliver measurement solutions in wireless communications, aerospace and defense, and semiconductor markets with world-class platforms, software and consistent measurement science.

This job will be part of the Electronic Industrial Solutions Group, which provides test and measurement solutions across a broad set of electronic industrial end markets, focusing on high-growth applications in the automotive and energy industries, and measurement solutions for consumer electronics, education and manufacturing, as well as semiconductor parametric testing, nano-positioning metrology and material science. The group provides electronic design and test software, instruments, and systems used in the simulation, design, validation, manufacturing, installation and optimization of electronic equipment.

Job Description

About the Job:

You would be part of the R&D team in the General Purpose Measurement Technology, under the Firmware Application Development team, mainly design and develop world class measurement instruments such as Digital Multimeter, Digital Power Supply, Data Acquisition and Function Generator. You will be working together with the R&D team to create functional design concepts, test on existing designs, and oversee the implementation of development projects.

Responsibilities:
Design, develop, test, and maintain high quality firmware for Keysight general purpose measurement products using Agile methodologies.
Focus on the development of next-generation technologies products, software algorithms, new features development and low-level drivers.
Participate in product planning activities such as proof of concept, requirement definition, design implementation and unit test.
Support existing product firmware modification & features enhancement.

Job Qualifications

Join some of the brightest minds in the measurement world. Learn more at www.jobs.keysight.com.
Bachelor or higher degree in Computer Science/Electronics/Micro-Electronics or equivalent.
Has working experience in firmware or embedded software experience.
Experience and strong in platform/application firmware development using C/C++ in different OS environments (Linux/RTOS etc.). 
Expertise in one or more general-purpose languages like Bash, Python, C/C++, JavaScript, etc.
High degree of analytical and problem-solving skill, solution oriented with a positive attitude.
Good documentation skill for technical sharing.

Keysight Technologies is an equal opportunity employer.

Job Function
Internships

Shift:

Day Job

Schedule:

Full Time (F)

Travel Required:

< 25%

Duration (Temp Positions Only):

< 6 months

___________________________________________________________________________________

Careers Privacy Statement

***Keysight is an Equal Opportunity Employer.***

Candidates can be considered to work from the following locations:

APAC : Malaysia : Penang : Penang || APAC : Malaysia : Selangor : Petaling Jaya

Job ID : 51280"
IT-Trainee,"Nexperia · Seremban, Negri Sembilan, Malaysia Reposted  2 days ago  · 11 applicants","About the job
Nexperia is a world-class company in semiconductor development and in-house production. A proven global player with an entrepreneurial mentality. At our core is an 13,000+ strong international network with a singular focus. Built on passion and commitment to our work, belief in our goals and a drive to succeed regardless of the challenges we face. We support, reward and challenge individuals equally, in a dynamic and energetic environment.

The most important aspect of a job description is to convey the responsibilities, qualifications, and expectations of the position accurately and clearly to potential candidates.

This is your new job:

Learn and contribute to various data pipeline building as well data analysis activities within the D&I team 
Learn SCALA and SQL, Pyspark, Apache Spark 3.x, Bigdata file formats etc. Develop ability to analyse complex transformation code , modify them, develop data processing modules in JAVA, SCALA and / or SQL 
Understand SDLC process and develop good understanding of responsibility of data developers 
Analysis of Data and creation of Spotfire dashboards for factory to use the reports 
Prepare technical documentation as part of change process 
Understand real time streaming data and perform stream operationsUnderstand about bigdata technology and parallel processing 


This is you:

B.S or above in Computer Science or related field
Very good academic record 
Having problem solving mindset 
Comes with innovation focus, is able to question and suggest improvements using critical thinking skills
Good Knowledge of SQL or JAVA or one of processing languages is a must 
An understanding of data analysis , database systems , data format, data sets is an advantage
Positive attitude towards learning and contributing to a team is a must. 


This is your department and colleagues:

This position will be reported to Back-End Big Data Ops Team. Back End Big Data Ops Team is a team operating under IT department. This team is accountable for IT operations in Big Data platform across all back-end sites in Nexperia. Besides that, this team is collaborating with business and other Big Data teams for the delivery of BI reports, Analytic tools, Data Models etc.

This is what Nexperia offers:

 Why should a candidate be excited about this job?


Good to know:

 Is there any specific information we need to integrate when creating the job description? E.g. travel is part of the job, if an assessment is part of the hiring process. Etc.


Talent acquisition based on Nexperia vacancies is not appreciated. Nexperia job adverts are Nexperia copyright © material and the word Nexperia® is a registered trademark.

Nexperia is an Equal Opportunity/Affirmative Action Employer."
Internship of AI Engineer,"SmartPeep Sdn Bhd · Masai, Johore, Malaysia  1 day ago  · 2 applicants","About the job
This job is sourced from a job board. Learn More
Process and label video data for the use of AI training 
Participate in the development of AI algorithm
Extract insights from the video data
Participate in software development in an agile team
 Minimum Diploma / Bachelor’s Degree, Post Graduate Diploma or Professional Degree, in Computer Science / Information Technology or equivalent 
Able to work independently and in a team, proactive, self-disciplined attitude.
Internship duration: Min 3 months and above
(Able to start on Nov 2023)

[Apply now at https://my.hiredly.com/jobs/jobs-malaysia-smartpeep-sdn-bhd-job-internship-of-ai-engineer-2]"
Junior AI/ML Developer,"Zoala Malaysia Sdn Bhd · Kuala Lumpur City, Federal Territory of Kuala Lumpur, Malaysia  1 week ago  · 25 applicants","About the job
This job is sourced from a job board. Learn More
Why ZOALA?

We, at ZOALA, are in search of an Junior AI/ML Developer to join our fast expanding team that is set to make a difference in the mental wellness space powered by modern-day technology and Artificial Intelligence (AI). You will be spearheading the creation of innovative algorithms, capable of learning and making predictions, as the key building block of our technology for mental wellness. Come join us as we move to advocate ‘Mental Wellness, First’.

Your Daily ZOALA Experience

As a Developer, you will:
Architecting, building, maintaining, and improving new and existing suite of algorithms and their underlying systems,
Design, develop, and maintain integrations + products with LLMs and other AI products (such as langchain),
Implementing end-to-end solutions for batch and real-time algorithms along with requisite tooling around monitoring, logging, automated testing, performance testing, and A/B testing,
Establishing scalable, efficient, automated processes for data analyses, model development, validation and implementation,
Writing efficient and well-organized software to ship products in an iterative, continual-release environment,
Contributing to and promoting good software engineering practices across the team,
Exercising your entrepreneurial spirit to identify new opportunities that optimise business processes and improve consumer experiences, as well as prototype solutions to demonstrate value.
Hang on! Life's a two-way street! Here's what you'll enjoy while spending time with us.

Work-Life Balance - We encourage you to find a balance between your work and personal lives. It isn't about how many hours you spend at home or at work; it's about the structure you establish that brings energy to both aspects of your life.

Inclusive Culture - When it comes to idea generation, we encourage diversity of opinion and difference of perspective aimed at a gainful outcome. Join an environment where you can speak your mind while consciously being respectful of the ideas of others.

If this sounds right up your alley, but you still feel you did not check all the boxes, fret not; no one fits a job description perfectly. Let's talk! We're curious and can't wait to get to know you.

The Career Requirements
A Degree holder (Preferably with a degree in Computer Science, Mathematics/Statistics, or related fields).
Experience as an AI/ML Developer or similar roles.
Experience in developing and deploying machine learning systems into production.
Using Cloud provider solutions such as AWS, etc.
Experience with object-oriented/object function scripting languages such as Python, etc.
Experience in building innovative end-to-end Machine Learning systems.
Able to prototype ideas and solve complex problems by adapting creative approaches expeditiously.
A team player who is adept at communication, project management and problem solving skills with a keen eye for detail.
Your Bonus Competencies
Worked with a variety of SQL databases e.g. NoSQL.
Experienced in working with distributed systems, service-oriented architectures and designing RESTful APIs.
Has knowledge of data pipeline and workflow management tools.
Has understanding of standard software engineering methodology, e.g. unit testing, test automation, continuous integration, code reviews, design documentation.
Has relevant work experience with containers like Docker.
 Only open to Malaysian citizens
[Apply now at https://my.hiredly.com/jobs/jobs-malaysia-zoala-malaysia-sdn-bhd-job-junior-ai-ml-developer]"
Internship in ETL / Python,"SYCARDA - Innergia Labs Sdn Bhd · Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia  4 days ago  · 3 applicants","About the job
This job is sourced from a job board. Learn More
Intern Responsibilities
Fulfilling the tasks set out by supervisors from the relevant department
Attending meetings and taking notes
Performing research at a supervisor's request;
Assisting supervisors and other staff members in their tasks;
Learn as much as possible and understand how the company works. 
Diploma & above from an accredited university or college in Mathematics, Statistics, Actuarial Science, Business, Information Technology, Data Analytics or its equivalent.
A final year student or recent graduate.
Moderate knowledge on Microsoft Office Application (Excel, word and power point)
Problem-solving skills
Accuracy and attention to detail
Team-working skills
Verbal and Written communication skills
Internship period of minimum 6 months from October 2023 and onwards
 [Apply now at https://my.hiredly.com/jobs/jobs-malaysia-sycarda-innergia-labs-sdn-bhd-job-internship-in-etl-python]"
AI Engineer,"Mandrill Tech Sdn Bhd · Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia  1 week ago  · 69 applicants","About the job
Established in Kuala Lumpur since 2015, Mandrill Tech is a fast growing technology company. It serves many clients from various lines of industry.

Being an MSC certified company, Mandrill Tech is recognized as leaders in ICT industry development in Malaysia. It reflects our commitment to be the frontliner of technology innovation and advancements.

The Role

As an AI Engineer at Mandrill, you will be responsible for designing, implementing, and maintaining AI and machine learning models and systems. You will collaborate closely with Data Scientists and other team members to deploy AI solutions that drive innovation. Additionally, expertise in ML Ops, computer vision,OCR, app development (Flask or FastAPI), API development, and ML Ops is essential for this role.

Key Responsibilities

Develop and implement machine learning models for various applications, with a focus on computer vision and OCR. 
Collaborate with Data Scientists to gather data and build training datasets for computer vision projects, OCR and ML models. 
Optimize and scale machine learning pipelines and ensure efficient ML Ops processes. 
Deploy AI models into production environments and integrate them into applications. 
Develop and maintain APIs to serve AI model predictions. 
Design and develop web applications using Flask, FastAPI, or similar frameworks. 
Implement best practices for ML Ops, including model versioning, monitoring, and continuous integration/continuous deployment (CI/CD). 
Monitor and maintain AI systems for performance, reliability, and security. 
Keep abreast of AI research and advancements and apply them to projects. 
Collaborate with cross-functional teams to define AI project requirements. 

Ideal Profile

Bachelor's or higher degree in Computer Science, Machine Learning, or a related field. 
Proven experience as an AI Engineer with expertise in AI app development and ML Ops. 
Proficiency in machine learning libraries and frameworks (e.g., TensorFlow, PyTorch). 
Strong programming skills in languages like Python. 
Experience in app development using Flask, FastAPI, or similar technologies. 
Proficiency in API development and integration. 
Familiarity with cloud-based AI services and infrastructure. 
Excellent problem-solving and communication skills. 
Ability to work in a collaborative and innovative environment. 

What's on Offer?

Work alongside & learn from best in class talent
Opportunity to make a positive impact
Excellent career development opportunities"
Internship of Software Engineer,"Snatch Park Bizsolutions Sdn Bhd · Petaling Jaya, Selangor, Malaysia  3 days ago  · 7 applicants","About the job
This job is sourced from a job board. Learn More
Responsibilities

As a Software Engineer Intern at Snatch Park, you'll have the opportunity to work closely with our experienced engineering team, gain practical experience, and contribute to the development of industry-leading software solutions. Your responsibilities will include:
Collaborating with the team to understand project requirements and objectives.
Writing clean, efficient, and maintainable code in various programming languages (e.g., Javascript, NodeJs, VueJS, etc.).
Assisting in the design, implementation, and testing of software components.
Assisting your team to automate software testing.
Debugging and troubleshooting software issues.
Participating in code reviews to ensure code quality and best practices.
Researching and implementing new technologies and best practices.
Qualifications
Pursuing a Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field.
Strong programming skills and a solid understanding of data structures and algorithms.
Familiarity with one or more programming languages.
Eagerness to learn, adapt, and solve complex technical problems.
Excellent communication and teamwork skills.
Ability to work independently and take initiative.
Prior internship or project experience is a plus but not required.
What We Offer
Valuable hands-on experience in a dynamic and collaborative work environment.
Mentorship from experienced software engineers.
Exposure to real-world software development projects.
Competitive internship stipend.
Opportunities for professional growth.
Potential for a full-time position upon successful completion of the internship.
 [Apply now at https://my.hiredly.com/jobs/jobs-malaysia-snatch-park-bizsolutions-sdn-bhd-job-internship-of-software-engineer]"
Machine Learning Engineer,"Cognizant · Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia  2 weeks ago  · 65 applicants","About the job
Job Description

 Job Summary: Machine Learning Workload Migration to AWS Services. Associate Data Scientist Post-grad in one of the following fields with strong academic credentials viz. Computer Science/IT, Operations Research/Applied Math, Engineering, Statistics
 Experience: 4 to 8yrs.
 Required Skills:
 Technical Skills: Oracle Big Data, AWS, AWS Sage maker
 Domain Skills: Banking and Financial Services
 Nice to have skills: Core Banking, Wealth and Private Banking, Mutual Fund/Security Accounting, Financial Reporting, Oracle Data Management
 Shift: Day Shift
 Roles & Responsibilities:
 Build advanced analytics models and solutions for our clients to improve various business outcomes.
 Works with the business team to identify the right business objective and data required to answer the same. Analyzes data and generates insights that can articulated to business stakeholders.
 Advises and assists AWS and Customer with the following activities in relation to the migration of workloads to Customer’s new environment
Migrate Workloads and provide knowledge transfer following the migration activities
Migrate machine learning models and its associated code artefacts from Customer’s application to a non-production AWS platform
Migrate business intelligence reports or dashboards associated with the ML models from Customer’s application to a non-production AWS platform
Migrate historical sample anonymized data from Customer’s application to a non-production AWS platform
Migrate associated extraction and loading scripts related to the ML models, including source objects and target objects provided by Customer
Migrate tables or files used by the ML models from Customer’s application to a non-production AWS platform
Migrate store procedures or views used by the ML models from Customer’s application to a non-production AWS platform
 Is part of a team that successfully develops complex algorithms and brings cutting edge innovation IN ORDER TO elevate Cognizant ability to create value for clients in areas and through means not immediately apparent to clients Business
 Develops POCs that can be used to generate business decisions Simulates several scenarios through an interactive visualization that deepens the business understanding with underlying trends and root causes
 Executes a data collection plan from both structured and unstructured sources that helps in data exploration, hypothesis testing and statistical modeling
 Stakeholder Management:
Communicate analytical results in a way that is meaningful for business stakeholders and provides actionable insights.
Coordinates in communicating the data needs with both technology and business teams to ensure that right data is captured for analysis and modeling.
 Certification(s) Required:
 Either one of AWS Machine Learning specialty or AWS Data & Analytics Specialty certifications if possible (but importantly, need to have experience with the above specified tasks due to the specific nature of the work)
 Having experience with ML Ops on AWS is a plus but not a strict requirement.

Employee Status : Full Time Employee

Shift : Day Job

Job Posting : Sep 28 2023

About Cognizant

Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant."
