job_title,name_location,job_description
Biostatistician and Aquatic Animal Modeler (Remote),Cargill · EMEA Reposted  1 week ago  · 168 applicants,"About the job
Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 160,000 employees who use new technologies, dynamic insights and over 157 years of experience to connect farmers with markets, customers with ingredients, and people and animals with the food they need to thrive.
Job Purpose and Impact
The Biostatistician and Aquatic Animal Modeler will design clinical and research studies and review protocols and reports. In this role, you will conduct analysis on biological and science trial data, including collection and interpretation of data from various sources such as surveys, experiments and studies. You will partner with other statistics professionals to provide advanced statistical and analytical expertise to Aqua research and development teams and businesses. You will design, support, and model aquatic fish and crustacean growth biology and nutritional physiology, working in conjunction with researchers, to lead Cargill in aquatic nutrition and welfare during development.

The position can be 100% remote. Location is subject to compliance check and approval. 

Key Accountabilities
Apply complex statistical methods to analyze results and reports and make appropriate inference for scientific research.
Prepare data and build reports, charts and tables based on appropriate statistical methods.
Provide expertise for designing experiments for complex trials and statistical evaluation to Cargill global research community.
Implement programs to establish methodologies in data quality within the organization.
Apply knowledge of business practices to select statistical methods for appropriate decision making for the organization.
Monitor and participate in external field of research to keep up with best practices and advocate for their appropriate internal use.
Design and support the development of aquatic models to evaluate nutrition, welfare, and biomass
Independently handle complex issues with minimal supervision, while escalating only the most complex issues to appropriate staff.
Other duties as assigned. 

Qualifications
Minimum qualifications
Bachelor’s degree in a related field or equivalent experience (statistics, aquaculture, marine biology, zoology, or related).
Knowledge and experience in developing code in R or Python.
Proven related work experience.
Prior experience in aquatic biology or aquaculture.
Fluent in English language, written and oral.
Travel requirement up to 15%.
Flexible to work from time to time with colleagues across multiple time zones. 
Preferred Qualifications
Prior statistical expertise in comprehensive statistical meta-analysis of data.
Prior statistical expertise in programming of common statistical methods in related research, including Markov chain Monte Carlo and Bayesian statistics.
Experience in providing solutions and recommendations for a variety of technical problems of moderate scope and complexity.
Prior expertise in aquatic biological systems and aquaculture nutrition. 

 Our Offer
We provide a fast paced stimulating international environment, which will stretch your abilities and channel your talents. We also offer competitive salary and benefits combined with outstanding career development opportunities in one of the largest and most solid private companies in the world.
Interested? Then make sure to send us your CV and cover letter in English today: 
Follow us on LinkedIn: https://www.linkedin.com/company/cargill
Cargill is committed to being an inclusive employer. Click here to find out more https://careers.cargill.com/diversity/"
Summer Interns 2024,"Appear · Oslo, Oslo, Norway  3 weeks ago  · 45 applicants","About the job
Are you ready to dive into an extraordinary summer filled with innovation, learning and fun? Look no further!
Appear, a trailblazing employer, is looking for motivated students who want to work as FPGA or software developers for the summer of 2024!
Company overview
Headquartered in Oslo, Norway, and with customers in over 100 countries, Appear is a award winning, leading supplier of media processing and delivery technology—providing the backbone that production companies, telcos and broadcasters trust to make immersive live experiences possible for their viewers.
Founded in 2004, by 11 former Tandberg Television employees, Appear has earned a strong reputation in the market for its exceptional products and expertise. Our core values center around modularity, quality and efficiency, and we are dedicated to minimizing the environmental footprint of our products and their operation.
We have been honored with numerous national and international awards for our achievements in revenue growth, international expansion and technological innovation. In 2021, we proudly received TVBEurope's prestigious Best of Show award and secured a grant from Innovation Norway for our groundbreaking NEO Series, a cutting-edge line of software compression products.
As the consumer demand for content on various devices continues to grow, we actively engage with industry organizations and technology partners to drive standardization and foster ongoing innovation. This enables our customers to remain at the forefront of an ever-evolving market where expectations and demands are constantly changing.

Software Student Developers
As a summer intern with us, you will be part of our development department, which is dedicated to crafting products for multi-platform TV delivery. You will find yourself in an environment with colleagues fueled by a passion for innovation and technological progress
 Areas you will explore: 
Software design
Programming in Rust, Typescript, Python and/or C++
Linux, Docker, JSON
Project execution

 FPGA Student Developers
As a summer intern with us, you will be working with highly skilled FPGA developers in one of the most extensive FPGA communities in Norway. You will find yourself in an environment with colleagues fueled by a passion for innovation and technological progress.
 Areas you will explore:
FPGA design
Programming in VHDL and/or Python
Simulation and testing

 What kind of student are you?
You consider yourself to be a good team player with a strong interest in either FPGA design or Software development. 
You are genuinely enthusiastic about participating in an 8-week summer internship
You possess a natural sense of curiosity and recognize the significance of acquiring new knowledge
You take pleasure in uncovering solutions and enhancing anything you believe can be improved
You like to share your ideas and perspective with other people

Why Appear? 
Immerse yourself in an environment that fosters continuous learning, creativity and growth
Collaborate with experienced professionals who genuinely care about your development
Career opportunities in an international and engaged working environment
The opportunity to strategically lead, impact, and shape the future of a thriving company in a global and dynamic industry
In-house gym and subsidized cafeteria with a multitude of temptations
Free parking incl. free charging of electric car at our premises centrally located at Lysaker
We are an informal organization that fosters inclusivity and diversity. At Appear, you will experience the entrepreneurial spirit of a medium-sized company, collaborating closely with decision-makers and customers, all while engaging with world-class, cutting-edge technology.

Application Details:
Please attach your diploma to the application. 
Application Deadline: As soon as possible!"
Machine Learning Developer,"MindPal · Trondheim, Trøndelag, Norway  1 month ago  · 99 applicants","About the job
We are looking for Machine Learning Developer

Job Responsibilities

Working on machine learning projects 
Analyzing and processing data to create machine learning models 
Implementing and optimizing machine learning algorithms 
Testing and evaluating models 
Collaborating with the programming team and other departments within the company to develop innovative solutions 

Requirements

Minimum 2 years of experience in the field of machine learning 
Knowledge of machine learning algorithms and techniques 
Ability to analyze and process data 
Familiarity with machine learning tools and technologies 
Proficient in English communication 
Education in computer science 

We Offer

B2B contract type 
Full-time employment 
Remote and flexible working hours"
We are looking for Tech graduates to our IT/Tech track in Norway!,"Tietoevry · Trondheim, Trøndelag, Norway  1 day ago  · 3 applicants","About the job
You may apply to Tietoevry by selecting Apply and fill your application details to the form. You may also Apply by using LinkedIn and populate details to your application from your LinkedIn profile.

Would you like to kickstart your career in a place where you can impact society, for good?  

Tietoevry creates purposeful technology that reinvents the world for good. We are a leading technology company with a strong Nordic heritage and global capabilities. Based on our core values of openness, trust and diversity, we work with our customers to develop digital futures where businesses, societies, and humanity thrive. Whether you are a strategist, coder, analyst, or a future-enthusiast, you will find your place here. 

Our five end-to-end business units are Create, Industry, Care, Tech Services & Banking. This recruitment round we are looking for graduates to join Tietoevry Create and Tietoevry Industry. Click the links to read more about the business units!

We are now recruiting graduates for the fall of 2024 in Norway! Become a part of our team consisting of 24,000 experts globally, helping businesses and societies meet their full potential – while you are also reaching yours.

The Program 

The Graduate Program will give you a comprehensive introduction to our company and culture, as well as markets and customer projects. On top of that our Graduate program offers networking and development opportunities with your fellow Graduates. 

What we offer? 

Once onboard you will get full access to a personal mentor for all work-related questions, and a buddy who is your best friend, and shows you the best coffee machine, Nordic graduate networking events, young professional network activities & gatherings. You are immediately enrolled into our well-established learning communities and experience from collaborating with multiple digital disciplines. Apart from this we offer: 

Professional and personal growth. We believe that learning and growing together helps us to become better every day. You get to challenge yourself as you will get onboarded to work in our tech company with the support of your leader, team, and personal mentor. 
Work-life-balance. We offer you professional growth, purposeful and meaningful engagements, and an outstanding work-life balance, all backed by competitive compensation. We provide a flexible hybrid work model as part of our culture and way of working. 
Community of professionals and friends. Ask anyone, the number one reason to join us is people! You will have a chance to build your network across the company through our learning communities and together with other graduates! As part of our team, you will take part in creating the future of a growing and fast-developing tech sector as part of a team whose culture is built upon a strong sense of support, fun & belonging. 
Genuinely impact our society's future by working on meaningful projects that will impact millions of people. You get to influence how digitalization serves millions of people, today and tomorrow. We work with customers of all sizes, and both in the private and public sector. 
You become part of a community where people are respected and valued. Come as you are and work the way you want. Our communities are nurtured and driven by passionate people at the front line. For us, diversity and inclusion are fundamental in the creation of an inspirational workplace and being different is how we drive innovation forwards. 


Who might you be? 

We are looking for people with a background or competence in tech-related fields. You get to work with a range of different technologies, from Software development (ex. Java, .Net), UX Design, AI/robotics, business intelligence, and so much more.

More specifically you: 

Have recently graduated, or you are about to graduate from your final year of studies. 
Have a minimum of a bachelor’s degree within specific tech-related subjects, For example, programming, data engineering, informatics, and information processing. We are also interested in a wider it-related competencies, such as information systems science. 
Are fluent in English, and Norwegian. 


 

Location? 

We are in many locations in Norway so you will have the opportunity to specify your desired locations when you apply! You will be asked to choose multiple locations and we will match you with open graduate positions based on your answer. 

The cities we are recruiting to this round: Oslo, Stavanger, Bergen & Trondheim.

 

The recruitment process:

In our business we are solving our customers’ challenges every day. Diversity enables innovation – and innovation is what we live on in this highly dynamic technology sector. Diverse teams enable creating best user experiences for the diverse users of digital services and solutions. We achieve this by offering a thought through and fair recruitment process. 

 Your gateway to us will be through our gamified recruitment process. This process is tailored to give you a fair and objective screening that is also fun to experience. 
 We use your assessment results, video response, questionnaire answers and CV to match you with the open Graduate positions available. 
 Based on this, selected candidates will be invited to our digital speed interviews, followed by in-depth interviews. Our Graduate Program 2024 kicks off in September, employment start date can be earlier based on individual agreement and depending on the position. 


Please write your CV in English. In addition to your CV, we ask that you also upload a copy of university and/or college grade transcripts. For applicants with ongoing studies, a preliminary grade transcript for completed courses should be submitted. 

Please note, you will not be able to edit your application after it has been submitted, please make sure all attachment and information is correct before submitting your application.  

We will start the recruiting process after the end date of the application which is 15th of October 2023. In case of any questions, please contact graduatenorway@tietoevry.com

Looking forward to hearing from you! "
Machine Learning Developer,"MindPal · Oslo, Oslo, Norway  1 month ago  · 144 applicants","About the job
We are looking for Machine Learning Developer

Job Responsibilities

Working on machine learning projects 
Analyzing and processing data to create machine learning models 
Implementing and optimizing machine learning algorithms 
Testing and evaluating models 
Collaborating with the programming team and other departments within the company to develop innovative solutions 

Requirements

Minimum 2 years of experience in the field of machine learning 
Knowledge of machine learning algorithms and techniques 
Ability to analyze and process data 
Familiarity with machine learning tools and technologies 
Proficient in English communication 
Education in computer science 

We Offer

B2B contract type 
Full-time employment 
Remote and flexible working hours"
Summer Interns 2024,"H5P Group AS · Tromsø, Troms og Finnmark, Norway  3 weeks ago  · 23 applicants","About the job
Do you want to help students all over the world get a better education? And get the opportunity to develop the tools that your lecturer uses to create next generation interactive content for your class? Do you want to experience how it is working in a fast growing product-based start-up where everyone is passionate and proud of what they are creating? - If the answer is “yes”, you should definitely keep reading this post..

We are a tech company experiencing strong growth. To support this growth, we are actively on the lookout for new additions to our team; someone who is passionate about technology, and is smart and friendly! We have extensive experience in onboarding summer interns and later on successfully reboarding them as full time employees after they have finished their studies.

We are very happy that our company is being built by fun, down-to-earth, hardworking, talented and ambitious people. This is the place for you to start your career if you have aspirations of working with a high degree of professional freedom, space for creativity, shaping your own workday while creating immense value for millions of people.

As a summer intern at H5P Group you will work on an exciting project in a team with other students, while being followed up by a dedicated mentor. Previous summer interns have taken great pride in working with on this content type as an example Image Choice | H5P- As a summer intern at H5P Group you will get the opportunity to fail, improve and most importantly learn. Being a developer at our team takes you through all the stages of the development life cycle: discussing the idea together with others, designing and workshopping, development, testing, and finally release.

We Offer

The opportunity to be a part of changing the future for Internet content.
A rich variation of challenges where the results of your efforts will be used by millions of people around the world.
Flextime with core time from 9:00 - 15:00.
Competitive salary and incentives like free lunch and snacks.
In Tromsø we’re at the popular “Flow Coworking Space” and warm lunches are made every day by Flow’s chefs. 
The ability to influence the development of our products, and a place where you will quickly see your work realized and recognized.
The ability to work with great colleagues in a pleasant and modern office, centrally situated in Tromsø. We also offer the flexibility of working some days from home.
You will have great opportunities for career development through internal workshops, training and various work tasks.
An Inclusive, International and creative workplace, where we give our employees responsibility and trust, along with the opportunity to shape their own working day.

When and where

You will work 6-7 weeks starting from mid june to mid august and the possibility to take 2 weeks of vacation somewhere in the middle. This summer internship is set to be located via our offices in Tromsø.

Who are you?

In 4th or 3rd year studying computer science, communication technology, informatics or related degree.
A student passionate about programming, with future aspirations about becoming a great software developer.
Knowledge and experience with JavaScript, CSS3,HTML5, React is a plus but not a requirement.
You must be team-player, eager to learn and review feedback as an opportunity to improve.
Located/Living in Norway and able to spend your summer in Tromsø. 
In possession of a valid working permit to be able to work in Norway. 
You must write and speak English well, and be comfortable communicating in English, as English is our business language

In The “cover Letter” Area We Want You To Answer In Writing (English) These 4 Questions

All Applications must be sent in via our gohire recruitment platform.

Why did you find this job post interesting?
If we talked to your best friends, how would they describe you? 
What about your studies/so far in your studies have excited you the most?
If you are to evaluate your previous work experience, what would you state is the most relevant to become successful in this internship? 

In addition to answering these questions, please make sure to upload your CV and grades (in one file).

We try to do our best to ensure a quick and timely application process and process applications as they come in, we encourage candidates to hand in their applications no later than 9th of October 2023. We only accept applications via formal application platforms (Gohire), not by email. If you have any questions about this role or working at H5P Group, feel free to reach out to Hanne Kristiansen by sending an email to: hanne.kristiansen@h5p.group

About Our Company

H5P Group (previously Joubel) is a fast-growing software provider. We improve the lives of hundreds of millions of people around the world by empowering educators to create better e-learning content faster.

Our award winning software is called H5P. H5P is a framework made to allow everyone to create, share and reuse interactive HTML5 content and is easily integrated in different sites. H5P offers templates allowing users to create rich and engaging content without any design or programming skills. We currently offer over 50 templates including Interactive Video, Virtual 360 Tours and Branching Scenario. H5P.com is our SaaS version of H5P, which is hosted on AWS. It scales automatically, has automatic failovers for most components and we perform rolling updates with no downtime.

H5P has, in a short period of time, grown to become one of the most widely used ed-tech solutions in the world, with customers that include Ivy League Universities, leading car manufacturers and publishers world-wide. We’re at the beginning of building the most significant ecosystem for interactive content in the world, so this is the perfect time for you to join."
Machine Learning Developer,"MindPal · Bergen, Vestland, Norway  1 month ago  · 51 applicants","About the job
We are looking for Machine Learning Developer

Job Responsibilities

Working on machine learning projects 
Analyzing and processing data to create machine learning models 
Implementing and optimizing machine learning algorithms 
Testing and evaluating models 
Collaborating with the programming team and other departments within the company to develop innovative solutions 

Requirements

Minimum 2 years of experience in the field of machine learning 
Knowledge of machine learning algorithms and techniques 
Ability to analyze and process data 
Familiarity with machine learning tools and technologies 
Proficient in English communication 
Education in computer science 

We Offer

B2B contract type 
Full-time employment 
Remote and flexible working hours"
UI/UX Designer (internship),"MindPal · Trondheim, Trøndelag, Norway  1 month ago  · 54 applicants","About the job
We are looking for a UI/UX Designer (internship)

The candidate for the UX/UI designer internship will be responsible for designing user interfaces for various mobile applications and websites, creating prototypes, conducting user testing, and analyzing data obtained from tests.

They will have the opportunity to gain valuable experience in design and improve their skills using graphic design and prototyping tools.

By working with a team, they will have the chance to see what it's like to work in the UX/UI design industry and learn best practices applied in this field.

Details

 We are looking for someone interested in interning in the UX/UI design department
 The internship will last for a period of 3 months
 Required skills include proficiency in graphic design tools and basic prototyping tools
 The candidate should have a high-quality portfolio that showcases projects in the field of UX/UI design
 Experience in designing mobile applications and websites will be an additional advantage
 The intern will participate in designing user interfaces, creating prototypes, conducting user testing, and analyzing data
 We offer compensation and the opportunity to gain valuable experience in a dynamic team
 Interested individuals are requested to submit their CV and portfolio (if exist)"
Machine Learning Engineer - Oslo,"Nigel Frank International · Oslo, Oslo, Norway  1 month ago  · 40 applicants","About the job
We are looking for a machine learning engineer in Oslo!

Joining a growing team based in central Oslo, working alongside some talented data scientists, machine learning engineers and developers, you will work with the latest technologies, and work completely end to end on ML projects.

You will research, develop and evaluate ML models, and explore large/unstructured data sets from a range of sources

You can work with data from various sources, and be tasked with identifying trends and anomalies whilst coming up with solutions to provide the analysis and insights customers need to solve their problems

As a company with data-driven insights at the very centre of it's offerings, you can be sure you'll be working as part of a dedicated team with all of the resources and tools you need to be productive

With an innovative working culture, and plenty of encouragement to experiment, it is a safe place to grow your skillset and develop professionally whilst working on some of the most cutting edge ML projects

We are looking for you to have some of the following skills:

 Strong academic background in computer science, maths, physics, or similar
 At least 3+ years of professional experience
 Proficiency in Python and related libraries
 Experience with Tensorflow/Keras
 Experience with cloud platforms is beneficial
 Experience working end-to-end on ML solutions
 Particular expertise in areas such as NLP or computer vision can be beneficial

In return, you can expect:

 Enhanced pension & insurances
 Excellent funded training programmes and courses
 Flexible working hours with option to work from home
 Modern central Oslo office
 Senior team to spar with and share knowledge
 Have a voice within the company and contribute to decision-making at all levels

For any questions, contact Lucy on l.whiting@frankgroup.com"
Nyutdannet høsten 2024 - Insights and Data,Capgemini · Trondheim Region  1 month ago  · 16 applicants,"About the job
Ferdigutdannet innen IT høsten 2024 med ønsker om en karrierestart i konsulentbransjen?

Ønsker du å starte din karriere i konsulentbransjen og bli en del av et felleskap med andre unge og engasjerte talenter som vil bygge en spennende karriere innen IT? Da er Ignite-programmet til Capgemini den perfekte starten for deg! Som Igniter vil du få muligheten til å delta i spennende kundeprosjekter, lære av erfarne konsulenter og utvikle deg innenfor teknologi og moderne dataanalyse, samtidig som du får muligheten til å delta på sosiale eventer og etterspurte kurs.

Om Capgemini Og Ignite-programmet

Capgemini er et ledende konsulentselskap som jobber med å omstille bransjer, effektivisere samfunnskritiske tjenester gjennom å ta i bruk ny teknologi for en bærekraftig fremtid. Vi jobber blant annet med å transformere oljeindustrien til grønn energi, forbedre helsevesenet og sikre tryggere veier gjennom digitaliserings- og innovasjonsprosjekter.

Ignite er vårt skreddersydde Graduate-program for nyutdannede IT-studenter som ønsker å kickstarte sin karriere som konsulent. Gjennom 12 måneder tilbyr vi deg en unik mulighet til å kombinere praktisk arbeid på spennende kundeprosjekter med et omfattende faglig tilbud av relevante kurs og sertifiseringer. Gjennom Ignite-programmet får du virkelig oppleve hva det vil si å være konsulent, utvikle en bred forståelse av bransjen og utforske ulike karriereveier innenfor Capgemini. I tillegg vil du opparbeide deg et nettverk og relasjoner med Ignitere og konsulentkollegaer gjennom varierte sosiale arrangementer som strekker seg gjennom hele tidsperioden.

Insights and Data – Nordens ledende fagmiljø for innsikt og analyse

Insights & Data har et av Nordens største og ledende fagmiljøer innen moderne data- og innsiktsplattformer. Vi leverer tjenester innenfor Data Engineering, Arkitektur, Data Science & Artificial Intelligence, Master Data Management (MDM) og Data Governance. Vi bistår våre kunder med å få kontroll på og innsikt i sine data, slik at de kan skape forretningsverdi. Dette oppnår vi ved å kombinere strategi og teknologi.

Hvem ser vi etter?

Nyutdannet innen IT-fag (bachelor- eller mastergrad). 
Interesse og basiskunnskaper innen programmering og/eller data og analyse. 
Evnen til å analysere komplekse problemer, identifisere løsninger og ta informerte beslutninger. 
Evne til å jobbe i team, dele ideer og kunnskap og bidra til kollektive mål. 
Evne til å ta initiativ, arbeide selvstendig og ta ansvar for oppgaver. 

Høres dette spennende ut? Søk nå og bli en del av Ignite-programmet hos Capgemini i 2024!

Vi ser frem til å møte deg og hjelpe deg med å forme din karriere innen IT-konsulentbransjen. Søknadsfrist er 30 oktober 2023.

Ved søknaden ønsker vi at du legger ved CV, søknadsbrev, karakterutskrift og eventuelle attester. Vi kontakter aktuelle kandidater fortløpende for intervju.

I vår rekrutteringsprosess vil du bli spurt om å ta en test når du søker og den vil bli tatt med i vurderingen. Alle søkere må gjennomføre denne for å bli evaluert.

Interessert i å bli bedre kjent med oss? Besøk bloggen vårher."
