job_title,name_location,job_description
Internship- Python,"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK · Singapore, Singapore  2 weeks ago  · 62 applicants","About the job
This job is sourced from a job board. Learn More
Number of opening: 2

Internship duration: Jan to Jun 2024

Objectives

During a 6 months’ internship, the intern will integrate with Capital Market IT teams; he/she will be trained on the team’s core technical knowledge and activities through mentoring and workplace training. He/She will bring his knowledge and skills into practice by design and developing notebook related to various process from support analysis to business analysis.

Mission

As an intern, your mission is to become a valuable asset to our organization by:

Interacting Comfortably with People: Building strong collaborative relationships within the team and stakeholders.
Python Data Science Passion: Demonstrating a deep passion for Python in data science applications.
Jupyter Notebook Proficiency: Becoming proficient in using Jupyter Notebook for data analysis and modeling.
Effective Data Communication: Excelling in explaining complex data insights through both written reports and visualizations.
Data Integration: Eagerly combining various data sources to uncover valuable insights.
AI Curiosity: Exploring and gaining hands-on experience in AI capabilities.
During your internship, you will have the opportunity to:
Learn about Global Market Financial Data, Transaction Reporting, Market Data, and Risk Indicators.
Gain insights into Software Development and Production Support.
Collaborate with Subject Matter Experts, including Business Analysts, Support Analysts, Developers, DevOps Engineers, and Quality Software Developers.
Benefit from the guidance of a dedicated mentor.
Progressively deliver increasingly complex notebooks that contribute to our data-driven decision-making process.

Competences And Skills

Knowledge on Machine Learning Algorithms.
Jupyter Notebook, Python
Proficiency in Data Science and Machine Learning development is required.
Fluency in English - as acting in a multi-cultural environment.
The scope will be adapted depending on the situation and the progress of the trainee.

Application Process

Interested students will need to apply via below link

https://app.jobvite.com/j?cj=oYVvofww&s=URL

Interested students will need to complete an aptitude/personality test during the application process.

Shortlisted candidate will be invited for hackathon conducted at our premises on 19 Oct 2023
Desired Skills and Experience
Mentoring, Machine Learning, Data Analysis, Modeling, Business Analysis, JavaScript, Data Integration, SQL, Flask, Python, Capital, Data Science, Databases, Django, Software Development"
Data Scientist Hiring Fresher and Experience,"Kavya Staffing Solutions · Singapore, Singapore  3 weeks ago  · 1 applicant","About the job
This job is sourced from a job board. Learn More
We are looking to hire a highly creative data scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges, and communicate with interested parties.

To succeed in this position; you need to be curious, creative, and tech-savvy. You need to stay up to date with data programming software and apps, have an outstanding understanding of statistics and mathematics and be proficient in writing algorithms. Top candidates will be persistent and have excellent analytical and problem-solving skills.

Data Scientist Responsibilities

Having meetings with team members regarding projects.

Collecting and interpreting data.

Automating and integrating processes.

Researching solutions to overcome data analytics challenges.

Developing complex mathematical models that integrate business rules and requirements.

Creating machine learning models.

Other Details

Salary-41,000/- to 58,000/-

Required Experience-0 To 10

Minimum Age-18

Data Scientist Requirements

Qualification Required-Diploma,B.tech,M.tech,BCA,

A MSc or PhD degree in applied mathematics or statistics.

0 To 10 years of industry experience also can apply

Work Department-Data Scientist

Work Industry-IT

Skills-Experience with data querying languages, and statistical or mathematical software.

Advanced coursework in machine learning and programming.

for more clarification contact to this number-8130679421

8093sgs@gmail.com

 Regards

 HR Placement Team

This job is provided by Shine.com"
Data Scientist (Intern),"REAL ESTATE ANALYTICS PTE. LTD. · Singapore, Singapore  1 week ago  · 25 applicants","About the job
This job is sourced from a job board. Learn More
Responsiblities

 Collaborate with the data science team to design and implement machine learning models for various projects.
 Work on computer vision tasks, including image classification, object detection, and image segmentation.
 Assist in developing NLP models for text analysis, sentiment analysis, and chatbot development.
 Contribute to integration of ChatGPT or similar conversational AI models.
 Collect, preprocess, and analyze data to extract valuable insights.
 Participate in team discussions, brainstorming sessions, and knowledge sharing.
 Document research findings, methodologies, and code for future reference.

Requirements

 Currently pursuing a Bachelor's or Master's degree in Computer Science, Data Science, Machine Learning, or a related field.
 Minimum GPA of 3.5 out of 5 or higher.
 Completed at least three years of undergraduate studies.
 Strong programming skills in Python and experience with relevant libraries (e.g., TensorFlow, PyTorch, scikit-learn).
 Proficiency in computer vision techniques and frameworks.
 Familiarity with Natural Language Processing (NLP) techniques and libraries.
 Knowledge or experience with ChatGPT or similar conversational AI models is a plus.
 Strong problem-solving and analytical skills.
 Excellent communication and teamwork skills.

Desired Skills and Experience
TensorFlow, Machine Learning, Product Innovation, Analytical Skills, Natural Language Processing, Segmentation, NLTK, FMCG, Sentiment Analysis, Computer Vision, PyTorch, Python, Statistics, Data Science, Teamwork Skills, Django"
Intern - Data Science Intern (ACI2404),"Activate Interactive · Singapore, Singapore  1 week ago  · 40 applicants","About the job
Activate Interactive Pte Ltd (“Activate”) is a leading technology consultancy headquartered in Singapore with a presence in Malaysia and Indonesia. Our clients are empowered with quality, cost-effective, and impactful end-to-end application development, like mobile and web applications, and cloud technology that remove technology roadblocks and increase their business efficiency.

We believe in positively impacting the lives of people around us and the environment we live in through the use of technology. Hence, we are committed to providing a conducive environment for all employees to realise their full potential, who in turn have the opportunity to continuously drive innovation.

We have opportunities for you to grow your career path and are looking for talented professionals to join our team.

What will you do?

Assist data scientists in performing public healthcare research and development in line with the organization's vision within the digital health and wellness domain
Perform on-site or off-site data collection, data organization, storage and processing
Develop data-driven solutions and insights based on data mining, statistical modelling and machine learning methods
Perform algorithm testing and validation
Documentation of research, experiments and modelling findings/results
Opportunity to be the co-author of our research publications

Requirements

What are we looking for?

Year 3 or final year in Data Science, Computer Science, Computer Engineering or related discipline
Passionate about data science and good working knowledge of Python, SQL and R
Good understanding or experience in signal processing and machine learning is required
Keen interest in digital healthcare, wellness and fitness domain
A 'go with the flow' and positive attitude, adaptable to change and energetic
Passionate about learning and working with new technologies
A natural tenacity, resilience and determination

Benefits

What do we offer?

Nurturing environment
Fun and open culture
Employee Wellness Programme"
Data Science Intern to Perm,"BIOQUEST ADVISORY PTE. LTD. · Singapore, Singapore  1 week ago  · 21 applicants","About the job
This job is sourced from a job board. Learn More
This internship offers hands-on experience working on data science projects for our clients. As an intern, you'll gain valuable skills in understanding client business needs, data preparation, data analysis, and using machine learning models to derive insights. You'll work closely with our clients under the guidance of experienced professionals.

Our Data Science Internship program has the potential to lead to a permanent position at our company. The minimum duration of the internship is six months.

We're looking for final year students currently pursuing degrees in Computer Science/Data Science, Statistical Mathematics, Engineering, Actuarial Science, or related fields with a strong background in data science. Proficiency in SQL and Python programming is required, and familiarity with Hadoop, Sparks, and its libraries is preferred.

Experience with Graph Databases like Neo4j or AWS Neptune is a plus.

We're seeking enthusiastic learners with strong analytical and problem-solving skills, good communication skills, and a customer service attitude. You should enjoy working in a team and be able to commit to a six-month internship.

At BioQuest, we value collaboration, teamwork, and knowledge sharing. Our culture is supportive and inclusive, with a strong emphasis on ethics and diversity. You'll have opportunities to learn about emerging technologies, receive mentorship from experienced consultants, and work in a supportive and collaborative environment. For high performers, there is an excellent career growth path.
Desired Skills and Experience
Machine Learning, Analytic Problem Solving, Data Analysis, Analytical Skills, Hadoop, Mathematics, Highly Resourceful, SQL, Good Communication Skills, Python, Data Science, Python Programming, hardworking, Databases"
Software Developer Intern,"ACP COMPUTER TRAINING SCHOOL PTE. LTD. · Singapore, Singapore  2 weeks ago  · 47 applicants","About the job
This job is sourced from a job board. Learn More
The Software Developer intern reports to the CTO. The internship will be project-based and presents a fast-paced environment that emphasizes quality deliverables and continuous improvement to encourage one to sharpen their expertise. We are looking for creative, hardworking, and versatile developers who can bring fresh ideas regarding the works of Convolutional Neural Networks and Deep Learning.

Engage in a meaningful software developer experience in the fast-growing EdTech industry today!

Job Description

Assist in the developing of our existing solutions and recommend improvements to our existing solutions
Assist in delivering quality user experience and user interface
Assist with the Analysis, Design, Development, Testing, and Documentation of new software solutions
Assist in developing proof of concepts and technical designs
Assist in data modelling
Assist in the installation and configuration of plug-ins
Assist in technical documentation
Learn to develop, customise, and integrate of Moodle, Totara, and other PHP-based web applications
Learn to manage software development, enhancement, debugging, testing, and maintenance of the backend application
Learn to make design, code, testing, and system quality improvement to backend application programming interface (API)

Job Specifications

Basic knowledge in HTML/ CSS3 with JavaScript/ JQuery, MySQL, and CakePHP
Passion for IT and software development
Willingness to learn on the job
Able to work in a team who enjoys interaction at work and during recreation
Currently pursuing diploma in Computer Science, Information Technology, Information Systems, or equivalent

Benefits

Internships that are more than 3 months will entitle to 1 AL from 4th month onwards.

Desired Skills and Experience
Technical Documentation, CSS3, Quality Improvement, HTML, User Experience, MySQL, JavaScript, Information Technology, User Interface, SQL, Web Applications, Java, Debugging, Software Development, jQuery"
Junior Data Analyst,"IOTALENTS PTE. LTD. · Singapore, Singapore  1 week ago  · 52 applicants","About the job
This job is sourced from a job board. Learn More
This is a 12 month contract role. The selected candidate will be working in banking industry.

Requirements

Minimum 1 year hands on experience in SQL, Excel and Data Analytics
Strong analytical and problem-solving skills.
Able to work on multiple tracks/tasks.
Knowledge of Python is a plus
Candidates who has shorter notice period is preferred.

Desired Skills and Experience
Tableau, Business Intelligence, Microsoft Excel, Dashboard, Data Analysis, Labels, Marketing, SQL, Attention to Detail, Python, Spreadsheets, Banking, Excel, Data Analytics, Databases, Data Visualization"
Machine Learning Engineer,"LYNEER CORP (SINGAPORE) PTE. LTD. · Singapore, Singapore  5 days ago  · 22 applicants","About the job
This job is sourced from a job board. Learn More
Conceive and design end to end machine learning solutions to support business units
 Work with stakeholders to map business requirements into technical solutions
 Develop and implement solutions to fit business problems, which may include applying

algorithms from a standard tool or custom algorithm development

 Implement entire ML pipeline from data pre-processing and feature engineering through model building to model evaluation.
 Work closely with data warehouse architects and software developers to generate flawless business intelligence solutions for end users
 Perform ad-hoc statistical and data science analysis
 Design model evaluation techniques and present results of analysis to business units
 Certifications in Machine Learning, Data Science, Artificial Intelligence, Computational

Linguistics or related fields
Desired Skills and Experience
TensorFlow, Machine Learning, Business Intelligence, Big Data, Pipelines, Mathematics, Artificial Intelligence, Architects, PyTorch, Computational Linguistics, Algorithm Development, Python, Statistics, Data Science, Java, Business Requirements"
Junior Data Scientist,"ORIENT FUTURES INTERNATIONAL (SINGAPORE) PTE. LTD. · Singapore, Singapore  1 week ago  · 46 applicants","About the job
This job is sourced from a job board. Learn More
Responsibilities

 Build and maintain machine learning-based prediction models for risk management and liquidity management purposes
 Work on database migration. Build complex views and conduct DevOps to streamline our data lake’s connection with other systems. Can understand and improve the system from both the business and technology point of view
 Look into the current manual processes and automate data manipulation for various departments including Client Services, Finance, and Risk etc.
 Build and improve business intelligence dashboards to provide insights for senior management.
 Continuously look into business requirements, brainstorm and implement new machine learning models to support the company’s business needs

Qualifications

 Degree or higher in Engineering, Computer Science, Statistics or equivalent in quantitative discipline.
 Able to write complex SQL queries.
 Familiarity with neural network frameworks including Tensorflow and Pytorch, Knowledge in common NN structures like RNN, Autoencoder, transformers etc.
 Good working experience in python, R and VBA.
 Knowledge of data warehouse systems like Snowflake
 Knowledge of Business Intelligence tools like Tableau or Power BI
 Good written and verbal communication skills.
 Knowledge of Derivatives and FX market is a plus.

Desired Skills and Experience
Tableau, TensorFlow, Machine Learning, Derivatives, Data Analysis, Big Data, Artificial Intelligence, Data Mining, PyTorch, SQL, Python, Statistics, Prediction, Data Science, Data Analytics, Power BI, Databases, Business Requirements"
2024 IT / Cyber Security Graduate Program – Singapore,"NOMURA SINGAPORE LIMITED · Singapore, Singapore  4 days ago  · 19 applicants","About the job
This job is sourced from a job board. Learn More
Who We Are

Nomura is a global financial services group with an integrated network spanning over 30 countries and regions. By connecting markets East & West, we service the needs of individuals, institutions, corporates and governments through our three business divisions: Retail, Wholesale (Global Markets and Investment Banking) and Investment Management.

Founded in 1925, the firm is built on a tradition of disciplined entrepreneurship, serving clients with creative solutions and considered thought leadership. For further information about Nomura, visit www.nomura.com

About Our Team

IT Security team at Nomura is a global function to effectively detect, defend, and respond to cyber-attacks or incidents that threaten or impact our organisation’s network, systems, information, or core business assets.

We Are a Fast-growing Team That Focuses On

 Cyber governance and risk management – responsible for all the regulatory and compliance requirements in Cyber Security
 Threat intelligence helps identify and map external cyber threats targeting Nomura
 Cyber culture and learning works towards spreading cyber security awareness for the firm on a continuous basis through various programs and channels

About The Program

Being part of our 2-year Graduate Program, you will work in the team to gain in-depth knowledge in various cyber security initiatives across Nomura globally.

You will get the exposure to rotate across the different pillars within IT Security and understand how each pillar works together to make impact to the various parts of Nomura. You will also work on key automation initiatives across multiple disciplines with the guidance and mentorship from experienced IT Security professionals.

About You

At Nomura, our goal is to attract and develop exceptionally talented people who share our passion for individual excellence and our commitment to teamwork. We are looking for individuals with outstanding academic and extra-curricular achievement, who will be able to withstand the rigors of a rapidly changing, demanding but ultimately rewarding environment.

We look for team players who are curious and have a keen interest in Cyber Security and Technology. Other common traits amongst our team are intelligence, curiosity, diligence, integrity and the willingness to thrive under a challenging environment.

Due To The Job Nature, Additional Requirements Are

 Studying in quantitative fields, such as Cyber Security, Computer Science, Data Science, or related disciplines would be an advantage
 Intellectual curiosity to solve real world problems
 Exposure and hands-on experience in executing data analysis using tools such as Python, R, SQL, PowerBI, Tableau etc. is nice to have, but not a must
 Ability to clearly communicate to technical and non-technical audiences
 Versatility and willingness to learn new technologies on the job

Eligibility

We welcome diversity in our teams and would encourage students from all background and disciplines who are in your final year of study (and be available to commence in July 2024) to apply. Fluency in written and spoken English is required.

Application Deadline

Please apply before 11:55pm, Sunday 31 December 2023 (SGT)

For inquiries, please email campusrecruitingaej@nomura.com

Please note that you can only apply to one opportunity globally per academic year. We review applications on a rolling basis and interviews can be arranged prior to the application deadline. We encourage you to apply as soon as you are ready.
Desired Skills and Experience
Tableau, Data Analysis, Cyber Security, Investment Banking, Risk Management, Targeting, Entrepreneurship, Investment Management, Mentorship, Thought Leadership, PowerBI, SQL, Versatility, Threat Intelligence, Data Science, Security Awareness"
