job_title,name_location,job_description
Group Financial Controller,"Recap Energy · Stockholm, Stockholm County, Sweden  2 weeks ago  · 119 applicants","About the job
Do you want to work in an exciting business segment and take part in the global green energy transition?
Recap Energy is an Energy as a Service (EaaS) business in a scale-up phase. Recap has business globally and focuses on investments in solar energy and energy storage projects.
In collaboration with Newr, Recap is looking for a Group Financial Controller to complement its Swedish finance team. This is a new position and a great opportunity to work with group accounting processes, ensure compliance and be part of building efficient consolidation processes. We’re looking for candidates who want to continue their professional development in a company culture built upon trust and respect combined with the positive aspects of a scale-up - quick decision making in both external and internal decisions. Your base will be at our headquarters located in Eriksbergsgatan in central Stockholm, but hybrid working can be discussed.
Key responsibilities as Group Financial Controller:Drive the closing process of financial statements on a monthly, quarterly, and annual basis together with the group CFO and Accounting Managers in Sweden, Spain, and Colombia.Ensuring accurate group accounting and group reporting for both the parent company and subsidiaries.Ensure compliance with applicable accounting standards (K3).Consolidated financial statements (monthly and quarterly), annual accounts and shareholder reporting.Key stakeholder in the implementation of the new group consolidation system.Ensure a systematized year closing process.Participate in the analysis and follow-up of the P/L and balance sheet.Developing processes concerning internal control.Act as support in financial transactions.Work closely with external auditors to ensure compliance of financial statements.
Professional background:Preferably academic qualifications in finance or accounting.3-5 years’ experience from auditing and/or working with group accounting or group reporting.Highly skilled in working with Excel.Fluent in English, good reading skills in Swedish. Spanish is a merit.Background within real-estate or financial market is a bonus.
PersonalityAt Recap we place a high value on the personality of a candidate, and it goes both ways; we need to be a good fit for you and the other way around. As Group Financial Controller you need to be an organized individual with high integrity. You have a problem-solving attitude and are good with details. You will need to have a flexible and constructive mindset in finding and overcoming challenges we face. To that, you’re also open in your communication and pedagogical when providing explanations. We encourage you to try new ways of working and to be proactive.
About RecapRecap Energy AB (publ) is a Stockholm-based clean energy company that develops and co-invests in commercial and industrial solar energy and battery storage projects through its energy-as-a-service model. Founded in 2010 on the vision to increase the speed of clean technology adoption by commercial and industrial clients with the combination of a simple service solution and financial innovation.
Working at Recap EnergyOur people are the most important asset we have. At Recap we rely on our diverse and highly skilled workforce who have the common vision of a more sustainable, affordable, and accessible energy future. Working at Recap means being part of an organization where mutual trust is key, and individual responsibility, empathy and respect are the fundamental values. We are an agile organization that encourages each person to thrive on what they’re best at.
The selection will be made exclusively based on the candidate’s capabilities and fit to the position. All persons who match this job description are encouraged to apply for the position. Recap is an equal opportunity employer and does not tolerate any sort of discrimination.
Send us your application!Take this opportunity and join an organization that lays the foundation of a sustainable future. In this recruitment process Recap Energy partners with Newr. Selection of candidates is taking place continuously, so please send your application as soon as possible. If you have any questions regarding this recruitment, please contact responsible recruitment consultant Casper von Sivers at 073-561 78 70 or casper.vonsivers@newr.se. We look forward to hearing from you!"
Senior 3D Character Artist,Gameplay Galaxy · European Economic Area Reposted  30 minutes ago  · 608 applicants,"About the job
Department: Art

Employment Type: Full Time

Location: Remote

Description

We are looking for a talented and experienced Senior 3D Character Artist who will be responsible for creating stunning and visually appealing 3D character models that enhance the gameplay experience. Your expertise in character design, modeling, texturing, and optimization will play a vital role in shaping the visual identity of our game.

All the responsibilities we'll trust you with:

You’ll collaborate closely with the art director, lead 3D character artist, game designers, and other team members to establish a cohesive artistic vision for the game's characters.
You’ll create detailed character models, considering factors such as proportions, anatomy, clothing, and accessories.
You’ll model, UV unwrap, and texture characters using industry-standard software such as Maya, ZBrush, Substance Painter, or similar tools.
You’ll optimize character models and textures for mobile platforms, ensuring optimal performance without compromising visual quality.
You’ll collaborate with the technical art team to ensure proper integration of character models into the game engine.
You’ll conduct regular reviews and provide constructive feedback to artists to improve the overall quality of character art.
You’ll stay updated with industry trends, techniques, and tools related to character modeling, texturing, and optimization, and share knowledge with the team to foster continuous improvement.

What you'll bring to the team:

At least 4 years of Extensive experience as a 3D character modeler in the game industry.
A strong portfolio showcasing your exceptional skills in character design and modeling.
Proficiency in industry-standard software such as Maya, ZBrush, Substance Painter, Photoshop, or similar tools for character modeling and texturing.
Strong understanding of human anatomy, proportions, and clothing design, withthe ability to create visually appealing characters.
Excellent knowledge of UV mapping, texturing, and PBR material creation for character models.
Experience in optimizing character models and textures for mobile platforms, balancing performance and visual fidelity.
Passion for video games and a deep understanding of character design and its impact on gameplay and player engagement.
Familiarity with rigging and animation principles is a plus.
Strong communication and collaboration skills to work effectively within a multidisciplinary team.
A proactive and self-motivated approach to problem-solving and the ability to meet deadlines in a fast-paced environment.
Ideally some leading / mentoring experience.
Excellent English to communicate with the international team.

Why you'll love working with us:

We’re 100% remote, work wherever you want forever!
We offer unlimited holidays and sick days. Take as much time off as you need, to spend time with your family and friends or just because you feel like playing games all day. We trust our team and want to offer a modern work life balance that allows you to thrive both at work and in your personal life.
You’ll be able to make an impact, to work closely with the rest of the team and its leads to work on one of the most promising upcoming games in the mobile gaming industry and the Web3 space.
You’ll have a comfortable work schedule and stable workload. With a variety of tasks that will allow your constant professional development.
We want our team to grow personally and professionally and support learning opportunities, especially with a focus around new AI tools and methods. 
We have a culture that puts our people first. We believe in open communication, creativity and the value of unique contributions from everyone in the team.
We offer a competitive salary in addition to equity option plans."
Graphic Designer,Tree Top Staffing LLC · EMEA  56 minutes ago  · 370 applicants,"About the job
The ideal candidate will have strong creative skills and a portfolio of work which demonstrates their passion for illustrative design and typography. This candidate will have experiences in working with numerous different design platforms such as digital and print forms. 

Responsibilities:

Collaborate with the team to ensure consistency of designs across various media outlets
Create compelling and effective logos, designs, print and digital media
Maintain awareness of current industry and technology standards, social media, competitive landscape and market trends

Qualifications:

Bachelor's degree in Graphic Design or related field
2-4 years of experience in graphic design
Proficient in Adobe Creative Suite
Strong communication, conceptual thinking, typography skills and design skills 
Portfolio of work"
"Junior systemingenjör, Medtech - Sectra Medical","Sectra · Stockholm, Stockholm County, Sweden Reposted  56 minutes ago  · 180 applicants","About the job
Är du nyexad ingenjör eller i början av din karriär, och intresserad av att jobba inom e-hälsa och medicinsk IT?

Kom och bli en del av vårt team av vassa ingenjörer som tillsammans vill göra skillnad inom e-hälsa och sjukvård. Vi letar efter drivna ingenjörer med teknisk passion som vill utvecklas och utmanas både professionellt och personligt. Tyngden ligger på viljan att lära sig och vad du vill göra framåt, och inte på dina tidigare erfarenheter. Viktigast för oss är att du är en öppen, passionerad person som är en team player med positiv och lättsam inställning. We hire for attitude and ability, train for skill!

Börja din karriär med breda möjligheter i rollen som projektingenjör på Sectras projektkontor mot våra kunder i Skandinavien. Sectra jobbar med att förbättra, utveckla och påverka sjukvården med IT-lösningar för bättre diagnostik, behandling och överlevnad hos patienter, framförallt inom cancervård. Ditt huvudfokus kommer vara att förstå och hjälpa våra sjukhuskunder - människor vars arbete innebär att rädda liv. Du kommer att jobba med våra avancerade och komplexa IT-system, samt med framtidens teknik för bl.a. radiologi, kardiologi, cancer och patologi.

På Sectra litar vi på varandra, därför tror vi bland annat på flexibla arbetstimmar. Här varvar vi även med sociala och lärorika tillställningar och events, såväl som sport- och hälsoaktiviteter. Du avgör dina möjligheter på Sectra, både inom olika roller såväl som placering nationellt och internationell. Vad sägs som USA, Kanada, Storbritannien, Australien eller Tyskland?

Som ny på Sectra, eller Rookie på Sectra-språk, kommer du ta del av introduktionskurser och utbildningar, ha en dedikerad mentor och tillsammans med andra Rookies anordna en Rookiefest . Detta för att lära känna verksamheten och andra nya på Sectra, och helt enkelt få bästa möjligheten att snabbt komma upp på banan och ha kul på vägen!

Rollbeskrivning

Som systemingenjör kommer du främst arbeta i projekt mot våra kunder i Sverige och övriga Skandinavien på vår leveransavdelning. I dessa projekt kommer du jobba i nära samarbete med ditt team bestående av andra systemingenjörer, projektledare och applikationsspecialister. Våra kunder i Sverige brukar bestå av en region, som oftast består av flertalet kliniker, sjukhus, lasarett etc.

Sectra är ett växande företag, så den ena dagen är inte den andra lik. Dina uppgifter varierar mycket och du har möjligheten att ta väldigt mycket ansvar. Hos oss får du ett utmärkt tillfälle att utvecklas i din roll och hitta speciella områden som du är intresserad av. Vanligtvis jobbar man på ett av våra kontor, men också ibland på plats hos våra kunder.

I rollen kommer du:

Vara med och planera och utföra kundprojekten i form av att bland annat kundanpassad installation, systemintegration, konfiguration och uppgradering av Sectras medicinska IT-produkter
Förutom Sectras egna produkter och lösningar får du också chansen att arbeta med och ständigt lära dig mer om IT-miljöer, komplexa databaser, virtuella servrar, molnlösningar och integrationer mellan olika vårdsystem
Arbeta tillsammans med våra kunder mot gemensamma mål, och därmed ha mycket kundkontakt
Klura mycket! Felsökning och problemlösning är en del av att driva projekten framåt

På Sectra prioriterar vi alltid attityd och förmåga när vi rekryterar. Vi brukar säga ”Hire for attitude and ability. Train for skill.” Det betyder att vem du är och din potential är mycket viktigare än vilken kunskap du har idag eller vilka jobb du haft tidigare. Det finns ett par grundläggande egenskaper som är viktiga på Sectra oavsett vilken roll du söker. Vi letar efter en vilja och förmåga att lära sig nya saker och att ta sig an nya uppgifter och utmaningar snabbt. Vi vill att du har en stark analytisk ådra där vi särskilt värdesätter förmågan att förstå, bryta ner och därmed kunna börja lösa även komplexa problem. Vi vill att du kan kommunicera och interagera med kollegor, partners och kunder på ett tydligt, konstruktivt och effektivt sätt.

För den här positionen har vi dessutom följande krav:

Du examineras under första halvåret 2023 alternativt har redan en MSc eller BSc inom t.ex. Datateknik, Teknisk Fysik, Bioteknik, Medieteknik eller motsvarande
Goda kunskaper i engelska i tal och skrift
Flytande svenska
En vilja att lära av andra och dela med sig av egna kunskaper
Tar initiativ och drivs av att göra en skillnad

Dessutom ser vi det som meriterande om du:

Har goda studieresultat och/eller engagemang utanför studierna
Talar fler språk än vad som krävs enligt ovan
Har intressen utöver skolan/jobbet, så som sportaktiviteter, sportledare, musik, ridning, sjunga eller liknande
Har erfarenhet av andra kulturer
Kompetenser inom Windows Server-plattform, MS SQL Server, nätverk, Active Directory, kluster eller lagring

Övrigt:

Vi läser ansökningar och kallar till intervju löpande.

Läs mer om vår rekryteringsprocess här ."
Chief Financial Officer,Tree Top Staffing LLC · EMEA  57 minutes ago  · 910 applicants,"About the job
The ideal candidate will be responsible for financial strategy, financial planning and analysis, financial reports, company audits, compliance, and bank relationships. They will collaborate with the CEO and the executive team to make decisions regarding company's financial strategy and operations. The candidate will possess a strong background in finance and management. 
 Responsibilities:

Create and present financial and tax strategy recommendations to CEO
Support the financial planning and analysis efforts
Oversee cash flow, cash management, working capital, and company audits
Prepare financial statements and reports
Ensure legal compliance on all financial functions
Manage relationships with banks

Qualifications:
  Strong finance-based analytical skills
7 - 10 years' of finance experience
CPA or MBA preferred but not required"
Administrative Assistant,Tree Top Staffing LLC · EMEA  1 hour ago  · 487 applicants,"About the job
We are looking for a self-driven and ambitious Administrative Assistant to join our team! As an Administrative Assistant, you will support managers and employees through a variety of tasks related to organization and communication.

The admin job scope includes communicating via phone and email ensuring that all administrative duties are completed accurately and delivered with high quality and in a timely manner.

Responsibilities:

Answer and direct phone calls
Organize and schedule meetings and appointments
Maintain contact lists
Produce and distribute correspondence memos, letters, faxes and forms
Assist in the preparation of regularly scheduled reports
Develop and maintain a filing system
Book travel arrangements
Submit and reconcile expense reports
Administrative Assistant requirements and qualifications
Proven admin or assistant experience
Knowledge of office management systems and procedures
Excellent time management skills and ability to multi-task and prioritize work
Attention to detail and problem-solving skills
Excellent written and verbal communication skills
Proficiency in MS Office

Qualifications:

Bachelor's degree or equivalent experience
Strong interpersonal, customer service and communication skills
Ability to multitask
Proficient in Microsoft Office suite"
Compliance Officer Norway,"Ria Money Transfer · Solna, Stockholm County, Sweden Reposted  1 hour ago  · 93 applicants","About the job
Job Description

Ria financial services is the global leader in the money transfer industry, and a division of the North American public company Euronet Worldwide (Nasdaq: EEFT), the leader processing secure electronic financial transaction. Ria Money Transfer offers services at 500.000+ locations across 165+ countries with 5000+ employees. We make the world a smaller place by closing distances between families and their loved ones.

At Ria Money Transfer you’ll grow alongside a multicultural team where diversity is not just a fancy term we throw around. We started out as a small immigrant-made business with one simple mission: to help people like us stay connected to their loved ones around the world. Although we’re now a global fintech with offices all over the world, we’ve stayed true to our roots.

We are currently recruiting a Compliance Officer, to join our team in Oslo, Reporting to the Nordics countries Compliance Manager your mission will be to develop, implement and manage our Compliance Management Program, ensuring Ria Money Transfer is complying with the regulation in the country; the role include assisting in the detection and prevention of money laundering, terrorist financing and consumer fraud activities, complying with consumer protection expectations as well as any other laws and regulations that pertain to the activities that Ria Money Transfer performs as a money service business.

Responsibilities

Plan, organize and control the day-to-day administrative and operational compliance activities, training of Ria employees, Ria agents and partners, including the organization of training to be had by the Board of the Directors. Collaborate with other Senior Management in the overall administration of these activities for the company.
Liaise with local regulators Central Bank, the Financial Intelligence Units and other relevant authorities in order to meet the company’s regulatory obligations.
Manage Compliance and Business relationship. Working side by side to find the best solution for the daily challenges keeping a strong and fluid communication between both teams at all times.
Periodically update the Board of Directors, fellow senior management and other personnel of emerging compliance issues and consults and guide the company in the establishment of controls to mitigate risks.
Implement an effective Compliance Risk Assessment Program in order to identify the risks associated within the regulatory environment, the products and services offered, geographical locations of operation and the delivery channels used. 
Due diligence tasks for existing agents and partners on boarded, process and ongoing KYC updates in accordance with the laws and regulations. 
Store, agents and partners activity oversite, ensuring that transactions carried out at Ria locations comply with internal AML/ATF policies.
Transaction Monitoring functions and review of reporting tasks done by Compliance Analyst, including any other regulatory requirements. 
Perform in-depth analysis of transactions using excel advances techniques to detect unusual/suspicious activity.
Implement and effective AML/CTF training and continuing education programs to all applicable employees, senior management and the Board of Directors.
Work with different departments to coordinate all reportorial and other requirements prescribed by the regulator. Prepare approval requests for new products and renew of the business permits on an annual basis.
Data protection tasks in accordance with country laws and regulations that pertain to the activities that Ria performs as a money service business.
To enforce risk management and mitigation processes within the company, subsequent of communicating with the Board of Directors.

Qualifications

4 years of proven working experience in the financial or legal sector, and at least 2 of which in compliance in a financial environment 
University Degree and master’s degree in law, business, or a related field 
Anti-money laundering and Counter-terrorism Financing expertise, with extensive understanding of the Anti-Money Laundering Act 2018 
Experience/knowledge of compliance issues/challenges in financial institutions.
High capacity to deal with difficult situations keeping a calm attitude and have a clever approach to Compliance/Business discussions. Making sure that business team comprehends and support Compliance initiatives as well as being flexible to business needs and objectives. 
Transaction monitoring and AML/ATF experience.
High capacity to understand and apply the various legal systems applicable in the country.
Be fluent in English and Norwegian languages written and spoken (mandatory).
International profile, with the capacity to understand other culture perspectives. Excellent communication skills, both written and spoken.
Microsoft Excel Advanced (mandatory) Clean and efficient working, pivot tables, dashboards, charts, multiple formulas, data analytics.
Microsoft 365 (Word, Outlook, Teams, OneDrive, OneNote, Power Point, Planner). 

What do we offer?

A great international, friendly, professional & dynamic working environment
Worldwide career development opportunities
Competitive salary & benefits
Relocation assistance

Why Ria Money Transfer?

We are down-to-earth people who are from everywhere and comfortable just about anywhere. Together, we believe we can create a world in which people are empowered to build the life they dream of, no matter who they are or where they are. This idea of helping to open ways for a better everyday life is what drives us to continue doing our best each day.

Ria Money Transfer DNA is made up of four main pillars: Humility, Openness, Transparency, and Drive. This powerful combination allows us to do right by our colleagues and customers. We are people serving people and we never, ever forget that. Want to join us?

#weareria #orangefamiliy"
Byggnadskonstruktör / Uppdragsansvarig,"PE Teknik & Arkitektur · Gothenburg, Vastra Gotaland County, Sweden Reposted  2 hours ago  · 28 applicants","About the job
PE är ledande inom Byggkonstruktion och söker dig som vill bli en del av vårt framgångsrika team.

Totalt är vi cirka 200 konstruktörer som ställer höga krav på kvalitet och som är väldigt stolta över alla fina projekt vi har skapat genom åren. Vi konstruerar allt från mindre ombyggnader, flerbostadshus i massivträ, skolor och idrottsanläggningar, till två av Nordens högre byggnader - Kontorshuset Citygate och Hotell Draken i Göteborg.

Om tjänsten 

Du kommer att tillhöra vårt Göteborgskontor där vi idag är 140 medarbetare, varav 60 konstruktörer.

Här på PE får du tillgång till ett multidisciplinärt nätverk av kollegor och experter. Vi är cirka 850 medarbetare på ett 20-tal orter i Sverige.

Vi letar efter dig som ska axla rollen som uppdragsansvarig i våra många spännande och komplexa projekt. Du är en person som vill göra skillnad, som vill vara med och påverka och kanske på sikt axla en gruppchefsroll. Du är den där självklara och uppskattade rådgivaren som våra kunder efterfrågar. Du leder och utvecklar både projekt och arbetsgrupper, tar ansvar för helheten och ser till att slutprodukten alltid håller högsta kvalitet.

Förutom ditt stora engagemang i uppdrag kommer du vara en nyckelperson för att utveckla verksamheten och bygga nya kundrelationer och affärsmöjligheter inom PE.

Du som söker 

Du har en högskoleingenjörs- eller civilingenjörsexamen i botten och är väl förankrad i bygg- och fastighetsbranschen. Du har minst fem års erfarenhet som byggnadskonstruktör och har genom åren arbetat i någon form av ledande och/eller samordnande roll där du haft det övergripande ansvaret för planering, styrning, ekonomi, samordning och leverans.

Som skicklig, noggrann och uppskattad byggnadskonstruktör har du idag ett upparbetat kontaktnät av nöjda och återkommande kunder. Du har ett starkt affärsfokus, vill vara med och utveckla samt skapa nya relationer med både kunder och kollegor på PE.

Svenska språket behärskar du väl, både i tal och skrift.

Har du vad som krävs och vill utvecklas tillsammans med oss? Är svaret JA, hör av dig till oss redan idag!

Ansökan 

Sista ansökningsdag är 15 oktober. Har du frågor om tjänsten, kontakta Louise Svensson på 010-102 51 62, louise.svensson@pe.se."
Chief Technology Officer,Projects24 · Greater Malmö Metropolitan Area  2 hours ago  · 10 applicants,"About the job
Job description

Projects24.co is looking for a person with a great drive, hands on mentality and holistic business sense combined with structure and sense of critical details.
We are seeking a skilled and experienced CTO to set strategy and make executive product decisions on behalf of the organization including managing a technology budget and making the necessary investments to align the organization with its vision.

If you are a technology visionary with AI implementation expertise in product development who executes that vision, we want to hear from you!

Working directly with the CEO, you will act as both a technology, business and product expert, making decisions impacting current and future operations.

As the CTO, you will oversee all product and technological resources, establish the technology vision, strategies, and growth plans.

Responsibilities

Maintain knowledge on all products and services of our website. Recommend new products and enhancements if required and coordinate with various cross functional team to analyze product requirements.

Develop all customer wire frames and user cases and ensure optimal level of customer services and analyze all customer requirements and monitor all requests and manage all defects in products.

Prepare strategies to increase existing and new businesses and identify appropriate vendor for all projects and manage communication for all eCommerce status projects.
Administer and approve all final new product delivery and recommend improvements to all products and prepare all business requirements documents and ensure compliance to all product schedules and coordinate with departments to provide an effective interface.

Collaborate with information technology and business units to deliver all releases and prepare work schedule for all projects and provide support to all strategies to achieve all marketing strategies.
Assist business leads to review all financials of projects and analyze all key business metrics, perform market research and usability tests on all eCommerce activities and manage all communication plans for projects and provide status reports to management.

Organize various product workshops and design effective strategies and coordinate with various groups to assist in the product development process and analyze all business requirements.

Design all interaction diagrams and provide materials for all user tests and develop all solutions to all issues.
Collaborate with the team and design all training materials and analyze effectiveness of all new features.

Personal characteristics

Pragmatic and solution oriented
Inspiring and enthusiastic teammate.
Free from prestige and a team player.
Strong interpersonal skills, strong net-worker internally and externally

A Successful CTO:

+5 years of experience in technology management, startup preferred
Someone who’s built and scaled up teams and products

Strong believer in using AI and technology to solve our customer’s problems

A builder who believes in the power of iterating

Great communicator and teammate, even better listener

A fluent English speaker, German is a plus.

Located in South Sweden or Copenhagen metropolitan area.

Having Work permit for EU and No need for Visa sponsorship.

What You Can Expect From Us:

We value equity based creativity and diligence. We greatly value our employees and the diversity each individual brings to the team, we will grow stronger together.
Our culture is based on trust and respect and is flexible with your way of life. Our ambition is to become worldwide leaders in the digital market and to offer our customers the best experiences to suit their needs.

An environment that provides the opportunity to make an impact that you would find in a scale-up, combined with the resources of a Startup.
Great work-life balance, including flexible hybrid working time.
A commitment to diversity and a positive environment.

Interested?
Apply with your English CV."
"Lead Engineer & Product Architect (AI/Fintech for Real Estate, Private Credit Hedge Funds)",Batonics AB  · Greater Gothenburg Metropolitan Area  2 hours ago  · 3 applicants,"About the job
Halloj,

Batonics AB is in the unique position of owning specialized engines designed to automate institutional investment analysis for realms like real estate, private credit, and beyond. Until now, our approach has been tailored: bespoke solutions molded for individual client datasets and models. It's been great, but we’re setting our sights on a larger mission and we need you.

If interested, please send us your motivation and application to ahmed@batonics.com. Applications without motivation are not usually considered!

Where you come in:

Within the first thirty days from placement, we're looking for you to participate or lead to:

Drive the transition from isolated solutions to a centralized, production-grade, enterprise-ready infrastructure - think of an assembly-line for our engines.

Aid our AI and data scientists in rapid prototyping different models of data ingestion, ETL, and integration with third-party solutions. Also, assist in transitioning these AI cores from prototype stages to enterprise payment solutions.

Centralize our varied engines, ensuring seamless integration and standardization.

Design a robust web interface that allows clients to log in, input their data, and receive clear, digestible analytical results.

Integrate a subscription payment portal with comprehensive SaaS properties, including monitoring and follow-up functionalities.¨¨

Furthermore:

While our suite spans from MonteCarlo Simulations to AI-powered natural language querying, the core mission is centralization and accessibility. Here's a glimpse of the existing structure that you'd be refining:

Engines that navigate varied investment analysis dimensions, inching towards fully automating traditional analyst tasks.

A platform that interprets broad queries via AI, yielding diverse outputs—numeric, graphic, textual, and beyond.

An intricate mechanism where inquiries are dissected, processed, and synthesized into report structures.

Who We Need:
A trailblazer with a proven track record of building similar products from ground zero to payment gateways.

Experience in molding a centralized architecture, weaving in SaaS attributes, and sculpting user-centric interfaces is paramount.

A proactive leader ready to work in tandem with Frontend and Backend Developers, Data Scientists, and AI mavens.

Someone adept at devising an optimized delivery paradigm, especially suited for sophisticated AI components.

Flexibility to occasionally don the hats of frontend, backend, or full-stack roles to maintain momentum.

Occasional travel to Stockholm, Sweden might be on the cards.
Before diving deep, skim through our website (www.batonics.com) and understand our ethos. We'd love to hear your perspective in the motivation email to ahmed@batonics.com.

About Batonics AB:
We're a Swedish tech entity aiming to pivot how investment analysis is conceptualized, emphasizing AI-centric solutions. Our synergies with elite real estate asset managers worldwide combined with our technical bedrock have carved an unparalleled niche for us. As we scale, our aim is to bring a wider spectrum of sectors under our analytical automation umbrella.

Thank you for your attention."
