job_title,name_location,job_description
Adult Psychiatrist,"Interact Medical Ltd · Nottinghamshire, England, United Kingdom  3 weeks ago  · 59 applicants","About the job
General adult Consultant Psychiatrist"
"Culinary Lead, Chipotle International","Chipotle Mexican Grill · Marylebone, England, United Kingdom Reposted  2 days ago  · 358 applicants","About the job
Culinary Lead, Chipotle International (23028797)

Description

CULTIVATE A BETTER WORLD

Food served fast does not have to be a typical fast-food experience. Chipotle has always done things differently, both in and out of our restaurants. We are changing the face of fast food, starting conversations, and directly supporting efforts to shift the future of farming and food. We hope you will join us as we continue to learn, evolve, and shape what comes next on our mission to make better food accessible to everyone.

THE OPPORTUNITY

As the Chipotle Culinary Lead for Chipotle International you will oversee Chipotle Culinary and its alignment with our Global Brand Standards which includes oversight of the Chipotle equity owned and operated markets in Europe and our other global partnerships. You will partner with our international Chipotle team, strategic regional suppliers, regional operations team, and our USA based leadership team to deliver a consistent Chipotle experience globally.

This is a leadership role involving the fluency in culinary skills, Chipotle's culinary execution, and Chipotle's Food with Integrity (FWI) ethos. The ability to partner strategically with suppliers to match our commercialized products and understanding large scale production is vital. An understanding of Food Safety, Quality Assurance, and Commercialization protocols is essential.

You will partner with the regional culinary operations teams to ensure restaurant culinary recipes and standards in local markets are maintained and meet the aligned-on Global Brand Standard. You will also lead any regional culinary and menu work required to support local menu adjustments by leveraging a combination of local market and consumer insights.

Developing and implementing processes and protocols to drive consistency in our proprietary products, food quality, and in restaurant execution will be essential.

This role reports directly into the Vice President for Chipotle Culinary and will partner with the leadership team in Europe and our licensed partners to ensure we are championing Chipotle's Food with Integrity mission across the globe.

What You'll Do

 Maintain Global Culinary Standards: Develop and execute a comprehensive Global Culinary Standards strategy aligned with Chipotle's objectives of delivering a consistent culinary experience. This will account for strategic suppliers, regional operations, marketing, food safety, and quality assurance stakeholders. The strategy will include a comprehensive process to calibrate on the Chipotle Core menu standards in addition to the review, approval, and organization of regional menu adjustments to support local and regional preferences, cultural nuances, and legislation.
 Strategic Supplier Partnerships: You will partner closely with the international supply chain team and strategic suppliers to ensure core menu ingredients meets our global culinary FWI standards. This includes liaising with the US teams and suppliers to understand the core ingredients.
 Restaurant Operations Support: Partner with the Operations Services team to drive culinary capability and brand standards internationally. This means leveraging the stage-gate process to support the ops services efforts impacting culinary.
 Teach & Taste Chipotle: As the Director of Culinary International, you will be an expert in Chipotle's FWI mission and our Real food proposition. Our value of Teaching and Tasting is critical and is supported with restaurant visits, food demonstrations, delivering strategic feedback, and providing support to enhance the FWI ethos, skills, knowledge, and performance of restaurant culinary to regional teams.
 Kitchen Innovation and Procurement: Partners with the global business on culinary process and equipment innovation initiatives to bring efficiency to international markets. Oversight of kitchen equipment and technology procurement to support consistency and drive cost efficiencies.
 Cross-functional Collaboration: Operationalise culinary innovation and change via effective collaboration with operations, FSQA, brand marketing, training, finance and procurement to align culinary initiatives with overall business objectives and ensure seamless integration of culinary strategies.
 Consumer Testing and Validation: Partner with the regional marketing and consumer insights team to develop and implement a consumer testing protocol for Core menu ingredients and recipe adjustments
 Budgeting and Cost Control: Manage culinary budgets, monitor costs, and identify opportunities for cost-saving initiatives without compromising quality or guest experience.


What You'll Bring To The Table

 A Passion for people, hospitality, and Real Food with Integrity
 Culinary Arts Degree/Certification
 Bachelor's or Master's degree preferred
 Language skills (English + 1-2 European languages) preferred
 A minimum of 10 years of progressive culinary experience, including international exposure and leadership roles
 Experience in multi-unit operations in regional European markets preferred
 Experienced and knowledge in large scale commercialization and production environments
 Strong understanding of food science, food safety, and quality assurance standards
 Strong understanding of international food regulations, health and safety standards, and food handling practices
 Proven track record in menu development, culinary innovation, and successful implementation of culinary strategies across multi-location operations
 Excellent communication and interpersonal skills to foster collaboration and build strong relationships with internal and external stakeholders. Highly articulate and able to present to diverse audiences including leadership with proficiency in food tastings, PowerPoint and other impactful presentation formats
 Strong business acumen, with experience in budgeting, cost control, and financial analysis


Who We Are

Chipotle Mexican Grill, Inc. (NYSE: CMG) is cultivating a better world by serving responsibly sourced, classically cooked, real food with wholesome ingredients without artificial colors, flavors or preservatives. Chipotle has over 3,000 restaurants in the United States, Canada, the United Kingdom, France and Germany and is the only restaurant company of its size that owns and operates all its restaurants. Chipotle is ranked on the Fortune 500 and is recognized on the 2022 list for Fortune's Most Admired Companies. With over 100,000 employees passionate about providing a great guest experience, Chipotle is a longtime leader and innovator in the food industry. Chipotle is committed to making its food more accessible to everyone while continuing to be a brand with a demonstrated purpose as it leads the way in digital, technology and sustainable business practices. For more information or to place an order online, visit www.chipotle.com

Primary Location: England - Marylebone - 9013 - International Operations-(09013)

Work Location:

9013 - International Operations-(09013)

83 Baker Street

Marylebone W1U 6AG"
Chief Tornado Structural Engineer,"BAE Systems · Samlesbury, England, United Kingdom  3 weeks ago  · 89 applicants","About the job
Structural Engineer

Location Dhahran

JOB PURPOSE
The Chief Tornado Aircraft Structural Engineer is a Structural specialist, with skills and knowledge beyond those expected of maintenance personnel and who is responsible for advising the RSAF on all stressing matters for aircraft structural repairs and other aircraft structural design work relating to Tornado and also all other aircraft operated in the Kingdom of Saudi Arabia eg Hawk, PC-21 etc). They will also provide training appropriate to the needs of RSAF Engineers in the Aeronautical Engineering Squadron. 

JOB ACCOUNTABILTIES
Ensure that methods and data used for repairs completed in Kingdom are compatible with those necessary to maintain the structural integrity of the aircraft and respect the standard procedures of the Design Authority.
Identify those aircraft repairs that need referral to the Design Authority and cannot be dealt with in-Kingdom and ensure liaison between the Design Authority and RSAF Aeronautical Engineering staff in progressing repair work.
Undertake initially all damage assessments on behalf of the RSAF in order to establish the extent of repair action required.
Provide advice and assistance during the embodiment of aircraft and A.G.E. structural modifications.
Provide structural engineering assistance to aircraft Incident and Accident investigations.
Investigate and make recommendations on inspection schedules / maintenance requirements etc. for recurring structural problems
Prepare and draft briefs for the RSAF to be presented to MODSAP, the Prime Contractor and vendors at formal and informal meetings such as the Tornado Support Review, the SBDCP Structures Review and the Tornado Aircraft Meeting
Classroom situation including the preparation and delivery of instruction that will ultimately lead to the award of a certificate of completion for the AES Engineers involved.

RECRUITMENT SPECIFICATION 
Qualifications:
Honours Degree or equivalent in Structure related discipline (Aeronautical, Mechanical, Civil etc.) is essential.
To have completed a recognized course in aircraft engineering or related engineering discipline at a military or civilian school of technical training, and/or have completed an appropriate apprenticeship would be desirable.

Relevant Experience:
Extensive proven experience as an aircraft Stress Engineer with proven extensive experience spent on Tornado, and proven experience spent in fatigue stress analysis.
Design Authority signatory for Tornado aircraft.
Self-motivated with the ability to analyse problems and formulate solutions to new issues that are outside the scope of the T.O.’s., but which respect the design philosophy of the aircraft type.
Ability to be able to produce high quality letters and reports using the Microsoft Office suite of programmes.
Ability to be able to produce high quality drawings and repair instructions for technicians to follow in the repair of aircraft and A.G.E. using the AutoCAD drawing package.

RECRUITMENT
Ideally, candidates suitable for consideration for this position will have been employed within the Structures Department of BAE Systems. This is essential if the applicant is to be considered suitable to be granted Design Authority Signatory approval for SBDCP aircraft types.

EXPATRIATE EMPLOYEE BENEFITS
In return for the required high levels of commitment and hard work you will receive a competitive salary, rent free accommodation, with access to free recreation facilities, all available within Company secured accommodation. In addition, a generous leave and travel allowance makes this an opportunity not to be missed. 
On successfully securing a role your appointment to Saudi Arabia will initially be on single status. On commencement of employment in Saudi Arabia you will have the opportunity to apply to have your family join you in the future. A full health care scheme is provided within Saudi Arabia.
SAUDI NATIONAL EMPLOYEE BENEFITS
In return for the required high levels of commitment and hard work you will receive a competitive salary and benefits package, including a generous leave and travel allowance, a full health care scheme and access to subsidised recreational facilities

BAE Systems
At BAE Systems, we serve the needs of our customers by delivering a wide range of advanced defence, aerospace, and security solutions that provide a technological and performance edge. We work together with local partners to develop, engineer, manufacture and support the innovations that sustain economies, increase defence sovereignty and safeguard commercial interests. With some 88,000 employees in six continents, our story is about talented people who are relentlessly committed to creating solutions that protect and strengthen nations, commerce, communities, and people. That’s work that inspires us. That’s BAE Systems.
All appointments in Saudi Arabia are subject to receipt of all necessary Government and/or Customer approvals."
Territory Sales Manager DACH & North Europe,Oxford Instruments plc · DACH  4 days ago  · 47 applicants,"About the job
We are looking for a Territory Sales Manager, an experienced sales professional to be based in Germany, Finland, Luxembourg, Sweden or Switzerland (home based with easy access to an airport) and represent us in the DACH and North Europe region, building strong networks, capitalising on sales leads, and developing our presence within the industry.

The opportunity

In this role you will report to the EMEA Sales Manager and be responsible for achieving the defined sales targets for your territory, whilst maximising profitability. You will be required to identify and act on new business opportunities, ensure that high quality tenders are submitted, as well as building and maintaining relationships with customers and developing knowledge of their applications and research networks. Working with the OI Marketing team you will actively promote our products in your territory, increasing our market presence, whilst continually gathering intelligence on our products, the market and our competitors to ensure that we are positioned as the preferred partner at all times.

About You

As a dynamic, self-motivated individual with excellent communication skills, you will be happy to work independently, have the ability to build strong relationships with new and existing customers and be able to understand our products, the market and how we can best meet the needs of our customers for their current and future endeavours.

You are likely to have a degree in a relevant technical subject, however it is more important that you have proven experience working as a successful sales professional in a high-tech industry. Previous experience of selling high value capital equipment to academic and government institutions is essential. You are fluent in German and English. It would be desirable if you have prior knowledge of Miller Heiman Sales Training, however training will be provided.

Benefits
 In addition to a competitive starting salary, Oxford Instruments offers flexible working hours and a half-day on Fridays. We also offer 25 days annual leave, private healthcare, a share incentive plan, a defined contribution Group Personal Pension Plan, and a flexible benefits package that you can tailor to your own requirements. We also invest in our talented employees by supporting them in their ongoing career and development so that they reach their full potential. We care and work hard to provide a workplace where you can grow and learn."
Graduate/Junior Machine Learning Engineer,"IT Graduate · City of London, England, United Kingdom  12 hours ago  · 18 applicants","About the job
This job is sourced from a job board. Learn More
Graduate/Junior Machine Learning Software Engineer - London (flexible 100% remote work or hybrid)

Machine Learning Software Engineer, Data Science, Data Scientist, Computer Vision, Text Mining, Deep Learning, Python, C++, Big Data.

An innovative and highly successful technology company is seeking exceptionally strong graduates from leading universities (Imperial, Cambridge University and Oxford University etc.) to join their talented and rapidly growing Machine Learning Software Engineering team.

This is an opportunity to develop your skills and start your career within a company that offers huge potential for growth. You will be learning innovative technology whilst developing cutting-edge machine learning algorithms. The company is developing one of the leading software products within cybersecurity which have already won many awards and global competitions.

IDEAL CANDIDATE

 Degree from a leading university (I.e. Imperial, Cambridge, Oxford) and standout academics
 Degree in Computer Science, Machine Learning, AI etc. preferred
 Some knowledge of Machine Learning will be beneficial but there is full training
 Strong programming skills
 Good software development practices. 

Please apply straight away if interested as this role will be very popular!

Machine Learning Software Engineer, Data Science, Data Scientist, Computer Vision, Text Mining, Deep Learning, Python, C++, Big Data.

Graduate/Junior Machine Learning Software Engineer - London (flexible 100% remote work or hybrid)"
Shift Leader,"ProAmpac · Lincoln, England, United Kingdom  1 week ago  · 113 applicants","About the job
We are ProAmpac, a leading global flexible packaging company with a comprehensive product offering. ProAmpac provides creative packaging solutions, industry-leading service and award-winning innovation to a diverse global marketplace. If you're looking for a challenging and rewarding career in Manufacturing, you might be the perfect fit for our Shift Leader position, based in Lincoln.
This position is based at ProAmpac Lincoln Ltd, Horncastle Lane, Lincoln. The rate of pay is £18.55 per hour and 42 hours per week (annual remuneration circa. £40,523 + OT opportunities). The shift pattern is 4on,4off. The role is a permanent role. We offer a contributory pension scheme and a range of benefits including a site bonus scheme and employee assistance programme.
As a Shift Leader, you will be responsible for coordinating and assisting with the activities of team members, ensuring compliance with all safety, operational and employment policies and practices. You will also be accountable for quality, production, documentation, reports, good manufacturing practices and cleaning procedures over your whole shift. You will seek out opportunities to improve established manufacturing practices and become the first point of contact for employee concerns. You will also support management activities, train and mentor employees, understand machine requirements and departmental costs, and work with other department leaders on continual improvement and best practices within the organization. You will have the ability to identify and allocate workload appropriately according to employee strengths and skillsets.
To be successful in this role, you should have the following qualifications and experience:
• Experience of leading or managing a team to achieve results.• Excellent interpersonal skills and people management experience.• Extensive manufacturing experience preferable within the flexographic print industry.• Completion of IOSH training preferable but training would be given.• Ability to manage moderately complex issues and problems.• Solid working knowledge of flexographic printing press processes and related manufacturing.• Experience using Microsoft Office Suite (Word, Excel, Power Point) and Outlook.• Maintains strict confidentiality and protects privacy of confidential/sensitive information.• Exceptional time management and organization skills.• Ability to communicate effectively (verbal, written, and presentations).• Proactive; exercises sound judgment and decision making; able to identify problems and needs to develop solutions and/or options.• Self-confident, self-motivated polished professional who thrives in a challenging, fast-paced environment.• Proven track record of performing with minimal supervision.
As a Shift Leader at ProAmpac Lincoln, you will also embody and promote the company values (5Is): Integrity, Intensity, Innovation, Involvement and Impact. 
Interested in this role as the next step in your career? If so, please apply directly through this advertisement."
PET Modeller,"Invicro · London, England, United Kingdom Reposted  3 days ago  · 158 applicants","About the job
Invicro is the world’s leading translational imaging company, based in London (UK), Boston and New Haven (USA). Invicro specialises in molecular and functional imaging studies to support medical and pharmaceutical research. The London site where this role is based, operates a unique clinical and pre-clinical imaging centre with state-of-the-art PET and MRI technology used to support clinical research.

This is an exciting opportunity to work in PET modelling and analysis and to be a part of a PET/MRI Analysis Team responsible for the development of analysis methods and their application to clinical imaging studies.

The Role 

The individual will develop and apply modelling and analysis techniques to Invicro imaging studies to provide quantitative decision making data to commercial and academic clients. This will include taking a lead role in the experimental design of imaging studies, the application of established and novel image analysis methods as appropriate, interpretation and reporting of results. The successful candidate will be expected to maintain a profile in the PET imaging field, through scientific publications and attendance of international conferences.

The Candidate

We are seeking a candidate who can demonstrate a strong expertise in quantitative analysis with a deep understanding of bio-mathematics and their application to imaging studies.

The successful candidate must be proficient in scientific programming, using scripting languages and processing environments such as MATLAB and FSL for image data processing and analysis.

We will consider candidates with a range of levels of experience, but candidates are expected to have a PhD in a relevant field and are able to demonstrate that they proactively keep up to date with new developments in PET analysis. The successful candidate must have a ‘can do’ attitude, excellent verbal and written communication skills, strong analytical skills, a logical approach to problem solving and excellent attention to detail.

Competitive Salary & Benefits

Position grade level will be determined based on the experience of the candidate.

Contributory Pension, Bonus, Private Medical Insurance, Life Assurance & Flexible Benefits options.

We ensure compliance with Data Protection laws and you can find our Privacy Notice at https://invicro.com/privacy-policy/

Invicro is an equal opportunities employer and positively encourages applications from suitably qualified and eligible candidates regardless of sex, race, disability, age, sexual orientation, gender reassignment, religion or belief, marital status, or pregnancy and maternity."
Recruitment Consultant (Must Speak Fluent German),ICON Strategic Solutions · EMEA Reposted  1 week ago  · 289 applicants,"About the job
Position Summary
TA BP acts as an intermediary for clients and candidates. Consults with internal stakeholders and clients about execution of operational and specialist positions. Realise the successful fulfilment of the staffing needs for the dedicated assignments in own discipline/industry segmentation from the client and candidate perspective according to job order and internal guidelines and procedures in order to achieve the formulated targets. Able to build good relationships with candidates and stakeholders. Makes use of existing network. Knows where to find candidates, utilizing all available sources and tools – internally and externally.

Works under close supervision of a Recruitment Manager/Business Director and within internal guidelines. Guides candidates and clients under supervision regarding offers. Draws up and executes project plan under close supervision.

Job Functions / Responsibilities

The responsibilities of the TA BP include, but are not limited to:
ACCOUNTABILITIES:
Take a full and comprehensive job order according to the internal checklist/procedures to ensure a full and complete understanding of a client’s staffing need, its context and the difficulty/feasibility of the assignment.
Establish a project plan and set timelines for the dedicated assignment, in line with client requirements and in consultation with the direct / functional manager, in such a way that project steps and accountabilities are clear and expectations regarding the project can be communicated and fine-tuned with the client.
Identify, search and select candidates, by searching the databases, gathering names from own network or by headhunting candidates and assess candidates by interviewing, in line with characteristics as defined in the Job order, in order to be able to make the best match between the candidate, the job, the staffing need and the client organization.
Introduce the candidates to the client organization, arrange interviews, keep candidates and clients up-to-date about the process and outcomes, as well as counsel and coach the client organization and the candidates during this process, in order to be optimally informed about the process and to be able to ensure a positive outcome.
Coordinate the process of offering and negotiating between the selected candidate and client organization, as well as coach the candidate through the resignation process, in line with legal requirements, aimed at securing the placement.
Coordinate the formulation of the (standard) CP contracts by Human Resources, as well as coordinate the signing of the contracts by client, (candidate) and (European) Business Director, in line with internal guidelines and legal requirements, to ensure that contracts are established within the best possible terms and signed by the relevant parties.
Give guidance to the candidate and client organization before and during the (contract) placement, evaluate the services provided by DOCS and keep in contact with candidate and client, in order to contribute to the satisfaction of and successful cooperation between client and candidate.
Document all relevant market, client, candidate and contract data in the database, in accordance with internal guidelines and legal requirements, in such way that relevant information is correct and available at all times.
Develop and maintain a network of candidates, as well as excellent relationships with dedicated clients, in collaboration with the direct / functional manager, in order to expand and maintain the database and support acquisition of new candidates, clients and assignments. 
COMPLEXITY OF JOB
Working methods and processes are defined and followed strictly.
Reports on defaults in progress.
Handles basic TA questions.
Ensures full compliance with systems and data requirements
Deals mostly with regular assignments with local clients or across EMEA
Search process is mainly focused on operational recurring positions and mostly based on database and network search, external networking search. 
BUSINESS IMPACT
Impact: Realizes the turnover target on designated assignments and targets.
Scope: Number of placements/revenue target

 KEY PERFORMANCE INDICATORS
Number of placements
Margin
Success rate (hit rate) %
Efficiency of execution of processes & ensuring aged roles are below 25%
Accuracy of administration/database, systems and processes
Client and internal stakeholders satisfaction
Candidate satisfaction

COMPETENCIES
Commercial - Client focus and understanding - Advanced
Interpersonal - Communication – at all levels of stakeholders
Interpersonal - Relationship building - Advanced
Managerial - Planning & Organizing own schedule
Managerial - Result orientation – Prioritizing and self management
Professional - Accuracy – Procedural & systems
Professional - Initiative - Effective

Skills And Experience
Basic know-how of instruments and methods within own service (CP/PP).
Existing experience within recruitment/CRO or industry expertise
Commercial awareness
Higher Vocational working and thinking level
Must visit the office 3 days a week
Fluent in German language written and spoken is a must"
Data Analyst Apprentice,"Studio Alphen · East London Tech City, England, United Kingdom  1 day ago  · 8 applicants","About the job
This job is sourced from a job board. Learn More
As a Data Analyst Apprentice, you will have the opportunity to learn from and work closely with McLaren's digital leadership team. Your main responsibility will be to visualise, present, and analyse data obtained from McLaren's information management systems and processes. You will also be involved in validating data sets and collaborating with the IT Data Platform Engineers to enhance our data accuracy and quality. This, in turn, will enable the company to make well-informed decisions based on objective evidence.

A typical day

Use your creativity to make data come to life! Collaborate with the digital leadership team to generate clear and effective dashboards for upstream and downstream reporting.
Engage with business stakeholders to understand their needs and empower them to make data informed decisions.
Support the IT Data Platform Engineer in improving the accuracy and quality of datasets generated from our digital information management systems.
Work closely with project digital delivery teams to establish efficient systems processes and procedures to ensure effective and accurate data is generated.
Maintain and create reports and dashboards that enable project teams to monitor performance, identify issues and take action based on evidence.
Ensure data integrity by managing the verification and auditing of digital information management data across the business.
Utilize your analytical skills to draw comparisons between projects with consistent processes and data.
Collaborate with IT's business data platform architecture to understand and improve our overall technology infrastructure.
Provide feedback to support future development and enhance functionality and performance.

You must have

GCSE English & Maths 4-9 (C-A*) or equivalent"
SVP/EVP Cyber Security,"Watson Reynolds · EMEA  3 weeks ago  · 1,240 applicants","About the job
Global Head of Cyber Security

A leading global professional services consultancy is seeking a visionary and seasoned professional to assume the Global Head of Cyber Security role. With a strong commitment to innovation, they are looking for an individual who can redefine and strengthen its global cyber security offering. If you are a thought leader in cyber security, possess unparalleled industry expertise, and have the gravitas to influence and lead in a dynamic global environment, we want to hear from you.

Role Description:

As the Global Head of Cyber Security, you will play a pivotal role in shaping and reinventing the organisation's cyber security strategies and solutions to address the evolving threat landscape. This role demands a visionary leader who deeply understands current cybersecurity trends and their market impact. You will be entrusted with the following responsibilities:

Responsibilities
Cyber Security Visionary: Define a forward-thinking cyber security strategy that aligns with the company's global business objectives.
Thought Leadership: Act as the organisation's primary thought leader in cyber security, staying abreast of emerging trends and technologies.
Global Cyber Security Portfolio: Oversee the development, enhancement, and delivery of a comprehensive suite of cyber security services and solutions on a global scale.
Strategic Partnerships: Forge strategic partnerships with industry leaders, technology providers, and other stakeholders to enhance the organization's cyber security capabilities.
Market Analysis: Continuously assess the market dynamics, competition, and regulatory landscape to identify opportunities and threats.
Team Leadership: manage, influence, and motivate in-country leaders.
Client Engagement: Collaborate closely at C-Level with clients to understand their unique cyber security challenges and provide tailored solutions that drive value.

Qualifications:
Proven track record of senior leadership in global cyber security roles within professional services or related industries.
Exceptional understanding of current cyber security trends, threats, and market dynamics.
Strong thought leadership and public speaking abilities, with a demonstrated ability to influence industry discourse.
Adept at building and nurturing relationships with key stakeholders, including clients and partners.
Entrepreneurial mindset with a track record of driving innovation and growth.
Excellent strategic thinking and problem-solving skills.
Strong organisational and project management abilities.
Relevant certifications such as CISSP, CISM, or CISA are a plus."
