job_title,name_location,job_description
SRMNCAH Small Grants Program Manager,"CORE Group · Dhaka, Dhaka, Bangladesh  1 week ago  · 259 applicants","About the job

OPEN POSITION: Sexual, Reproductive, Maternal, Newborn, Child and Adolescent (SRMNCAH) Small Grants Project Manager
REPORTS TO: Sr. Director of Programs
LOCATION: Remote 
HIRING NEED: Immediate – December 2024 with renewal possible; Full-time 

BACKGROUND

CORE Group fosters collaborative action and learning to improve and expand community-focused public health practices. Established in 1997 in Washington D.C., CORE Group is an independent not-for-profit hybrid, membership organization, and home of the International Community Health Network, which brings together over 15,000 global health practitioners-  CORE Group member organizations, scholars, advocates, and donors to support the global health of underserved women, children, adolescents, and communities around the world. Learn more here: www.coregroup.org.

CORE Group is implementing a participatory  small grants program to advance Sexual, Reproductive, Maternal, Newborn, Child, and Adolescent Health (SRMNCAH)  programming, policy, and interventions in three priority countries,  currently in Bangladesh, Nepal and Cambodia (Six grants total). There is a possibility that the project will be extended for 7 years more in the following countries  (: Mexico, Guatemala, El Salvador, Indonesia, Laos, Philippines, and Timor Leste) by providing financial, SRMNCAH technical, and organizational resources to local women-led, youth-led, people with disabilities-led organizations, and other community-based organizations. This approach will strengthen local and national organizations' technical and organizational capacity to design and implement community-based solutions to SRMNCAH challenges, focusing on gender transformation, quality of care, and health equity.

The overall outcomes of the project are:
Overall Outcome #1:
Community-based solutions for SRMNCAH developed in this project strengthen the national health system to become sustainable in the longer term.
Overall Outcome #2:
Successful project interventions lead to SRMNACH improvements, especially for women and girls, in the communities of implementation in the three selected countries.
Overall Outcome #3:
An innovative, inclusive sustainable grantmaking model is developed for SRMNCAH that other donors and financing organizations replicate.
JOB DESCRIPTION
The Project Manager will be responsible for leading the overall SRMNCAH Small Grants project management, including M&E, SRMNCAH technical guidance, ensuring the, developing and managing a detailed project schedule and work plan, reporting, sound administrative, and financial management support with the Finance team, as well as identifying technical aspects that the grantees need. Additionally, creating long- and short-term strategy, developing the evaluation process, external relations, donor relations, and leading all aspects of the project. The Project Manager will lead a team of 3, plus consultants. 
 RESPONSIBILITIES 
 General responsibilities will include, but not be limited to the following:
 Provide technical support and management for the SRMNCAH project

·       Lead all aspects of the project design,  implementation, monitoring and evaluation, to achieve project results;
·       Establish collaborative partnerships with implementing sub-grantees, technical experts, and other stakeholders;
·       Develop the SRMNCAH technical capacity of grantees, including all areas of SRMNCAH. Provide guidance and technical advice on sub-grantees projects, approach, methodology, and any aspect of the project that may need technical guidance.;
·       Lead the project team to achieve the project objectives, which includes SRMNCAH and organizational technical strengthening;
·       Ensure that an internal and external learning agenda is collaboratively developed, to capture all aspects of learning from the start of the project;
·       Develop a gender transformative approach to the project through clear protocols, guidelines, SOPs, etc. 
·       Oversee the initial mapping and assessment of potential countries of implementation.
·       Adapt and implement the project's work plan;
·       Develop a robust participatory M&E framework, that ensures accountability, learning, and monitoring of all aspects of project;
·       With the Technical Programs Coordinator, support communications and advocacy on the project and SRMNCAH, including the collection and dissemination of success stories;
·       Ensure the creation, collection and documentation of knowledge about the project through the analysis of the project strategies, approaches and ongoing experience for lessons learned, best practices, and use this knowledge for information sharing, planning future strategies, and possible project scale up.

Administration and finance responsibilities for the SRMNCAH project
·         Review and become familiar with relevant administration, personnel, and finance documents that are being used for the project;
·         In conjunction with the Finance Director and Operations Manager, plan, approve, track, manage, and ensure efficient and effective use of project funds that are designed to support project implementation for the small grants project;
·       Provide leadership, delegate responsibility, supervise work, and appraise the performance of Project team members;
·       Review and approve sub-grant financial-technical spending requests, per the sub-grant agreements.

Partnership development & external relations
·    Represent CORE Group in SRMNCH meetings, forums, etc. that are of importance to CORE Group members and the broader CORE Group community;
·    Participate in and lead external meetings and conferences, as requested, to share the progress and learning of the SRMNCAH Small Grants program;
·    Collaborate in regional and global forums and convenings on SRMNCAH, convene civil society organizations around SRMNCAH issues related to the project, and ensure decolonization, localization and equity approaches to all partnerships with global, regional and country-level partners;
·    Develop and maintain relationships with the CORE Group SRMNCAH Working Group Co-chairs, and relevant CORE Group members working on SRMNCAH;
·    Maintain external communication with the donor and other stakeholders.

REQUIREMENTS:
·       Master's degree in public health, maternal and child nursing or midwifery, adolescent health,  international studies, international development, or similar educational training
·       Demonstrated technical experience in SRMNCAH (7+ years) and expertise working with low-and-middle-income countries, with equitable approaches.
·       Experience managing small grants/sub-grant programs.
·       Experience in SRMNCAH technical capacity building of community-based organizations, participatory approaches, and understanding the principles of decolonization of global health, as well as health equity approaches.
·       Over four years of experience with project management 
·       Experience working with a non-governmental organization is desired. 
·       Experience leading remote teams, delegating effectively, and managing multiple time zones.
·       Experience in Microsoft Suite, Office365, video conferencing software, and project management software (Mondays.com).
·       Excellent written and oral communication skills.
·       Ability to multi-task, solve problems and manage multiple deadlines.
·       Must have the ability to work with flexibility in a team setting.
· Fluency in English required. 

 CORE Group has an office in Washington DC and will move to a hybrid model of working. However, this position can be remote, from any location in the world, but must be available for United States East Coast (ET) time zone meetings, as well as time zones of Nepal, Bangladesh and Cambodia. Individuals from Asia are encouraged to apply, as well as women, people living with disabilities, indigenous persons, and members of the LGBTQI+ community.

Salary range is $95,000 - $105,000/year + benefits.
HOW TO APPLY:
To apply, please email your resume and cover letter to jobs@coregroup.org. Use ""SRMNCAH Project Manager"" as the subject line. No phone calls, please. Only potential interviewees will be contacted.

Please apply by October 20, 2023
 "
Senior Machine Learning Engineer,"Optimizely · Dhaka, Dhaka, Bangladesh Reposted  1 week ago  · 161 applicants","About the job
Optimizely is known for content, commerce, and optimization with our Digital Experience Platform (DXP). Millions of experiences are served with our platform every single day, helping organizations grow exponentially online. We have the honor of serving some incredible customers – which makes what we do extremely rewarding. Optimizely has over 9,000 brands, from global organizations such as Visa, Sky, Yamaha, and Wall Street Journal to tech innovators like Atlassian, DocuSign, FitBit, and Zillow.

Not only are we financially sound and growing, but we have unicorn status: we exceeded $300M in revenue in 2020, is profitable already, and have all strategic options ahead of us. Optimizely continues to invest and addresses a market opportunity north of $30 billion, providing significant personal career growth opportunities.

We are an inclusive culture with a global team of 1200+ people across the US, Europe, Australia, Bangladesh, UAE, Singapore, and Vietnam. We blend European and American business cultures, emphasizing teamwork, inclusion, and moving fast. People make the difference!

Introduction

Our Data Science team harnesses big data, natural language processing, and machine learning to help create next generation products for Optimizely’s Experimentation, CMS, e-commerce, and data platforms.

This team emerged as a result of the acquisition of two start-ups (Peerius and Idio) that provided personalisation products for e-commerce and content. Over the past years, the consolidated company has improved the lives of customers such as Intel, HP, Fitch Ratings, Sainsbury’s and many other brands. Episerver’s acquisition of Optimizely has paved the way for interactions between data-driven experimentation and AI.

This role is within a team whose primary focus lies in the following areas: Natural Language Processing, Machine Learning, and Recommendation Systems. Our stack employs a variety of technologies, including (i) code written in Python, Scala, and TypeScript, (ii) data pipelines using Spark, Luigi, Kubernetes, and Terraform, (iii) prototyping and deploying Machine Learning solutions using Pandas, Scikit-learn, and Dask.

Working Hours: Sunday-Thursday (2pm-10pm)

Job Responsibilities

Your main responsibilities are to help the Data Science team

 maintain and extend projects related to NLP, Recommender Systems, and Predictive modelling
 prototype and implement production-ready approaches to GenAI that draws from recent research.

Knowledge And Experience

In order to apply for this role, you will need to demonstrate the following:

Excellent Python programming skills and experience in software development
Strong understanding of Machine Learning, Recommender Systems and Natural Language Processing
Experience with cloud computing infrastructure (AWS / Azure / GCP)
Experience with distributed data processing (Spark or similar cloud services)
Experience with data querying
Basic understanding of Generative AI and LLMs
Ability in conveying complex concepts to a non-technical audience
Experience shipping ML models to production environments
At least 3 years of experience in a development team
Experience with source control tools (GitHub / GitLab)

You will get bonus points if you have experience with these but otherwise these are skills you are likely to learn in this role:

Experience with Reinforcement Learning or Statistics applied to Machine Learning 
Experience with A/B testing
Experience with data processing pipeline frameworks (Airflow, Luigi, or similar) 
Experience working with teams of Data Engineers or Product Managers 
Experience with functional programming concepts and architecture
Experience prototyping ideas discussed in research papers into code that can be assessed and benchmarked

Keywords: Machine Learning, Data Science, GenAI, Cloud, Python, Recommendation systems, NLP, Scikit-learn, Pandas, Luigi, Airlfow, Docker, Git

Education

Bachelor's or Master's degree in Computer Science, Information Systems, or equivalent

Competencies

Communicating Effectively

Critical Thinking

Managing Meetings

Prioritizing and Organizing Work

Solving Complex Problems

Our culture is the most important thing we offer. We continuously aim to provide a high-growth space where you can do your best work and, in the process, unlock your boundless potential. We work hard to provide meaningful rewards and development opportunities for our employees, recognizing performance and creating a supportive working environment. You'll also get:

Best-in-class compensation plans 
Two annual festival bonuses 
Reward and recognition programs 
Paid Maternity (16 weeks) & Paternity Leave (12 weeks) 
Unlimited vacation days and flexible working hours in a hybrid environment 
Medical & life insurance for employees and dependents 
Volunteering and opportunities to give back 
Monthly and quarterly regional and global team-building events 
Chance to work with our incredible global team all over the world 
Communal transport facilities inside Dhaka and free catered lunch when we return to office 
An agile performance review process that encourages ongoing transparency between managers and direct reports 
Enablement program and soft skill training to support internal career growth and development 
A free “Hacking day” per month for self-studying and researching any IT-related subjects 
An annual performance-based increment 

At Optimizely, our standardized language is English, and it is crucial to have good English communication skills to be successful in your global role. All our external and cross-location communication is done in US English (en-us), but internally you can speak in whichever native language you most identify with.

Optimizely is committed to a diverse and inclusive workplace. Optimizely is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status."
MERLA Director - USAID Bangladesh Strengthening Local Level Health Systems Activity,RTI International · Bangladesh Reposted  1 week ago  · 165 applicants,"About the job
Overview

Research Triangle Institute (RTI) has over 30 years’ experience assisting governments, communities, and the private sector. As a not-for-profit, independent research institute based in North Carolina, USA, RTI has roughly 6,000 employees with global experience implementing international development projects.

RTI's Global Health Division (GHD) within the International Development Group, works in Malaria and Neglected Tropical Diseases; Global Health Security and Public Preparedness; Heath Systems Strengthening - including Health Governance, Health Finance, Human Resources for Health, Capacity Building, and Health Policy and Advocacy; and Integrated Care - including Reproductive, Maternal, and Child Health and Family Planning. We address a range of public health problems to reduce disparities, lower disease burdens, and build locally owned sustainable health programs in lower- and middle-income countries.

Program Description

RTI’s GHD is pursuing the forthcoming USAID-funded Bangladesh Strengthening Local Level Health Systems Activity, which will work to improve health outcomes for all by addressing the gaps preventing local level health systems from delivering high quality and integrated public health services. This Activity will be expected to uphold USAID/Bangladesh’s Health Strategy principles of equity, quality, resource optimization, evidence-based decision making, adaptive management, resilience, and locally-led development. The anticipated Activity will be based in Dhaka, Bangladesh with a to-be-determined sub-national focus.

Position Description

The GHD is seeking a Monitoring, Evaluation, Research, Learning and Adaption (MERLA) Director for this Activity. The MERLA Director will have primary responsibility for the design, management, and implementation of systems to ensure quality monitoring and reporting of the project’s Monitoring and Evaluation (M&E) Plan. The position will be responsible for the development and oversight of the project’s learning agenda and research undertaken by the project. The MERLA Director will provide primary support to the team for timely, complete, and quality reporting of all monitoring, evaluation, and research data from project activities.

Position is contingent upon award and funding.

Responsibilities

Primary Responsibilities: 
Provides oversight of Monitoring, Evaluation and Learning (MEL) efforts and ensures efforts are informed by and feed into program decisions. 
Leads the development, implementation, refinement, and harmonization of project’s MEL system; develops and operationalizes indicators, sets targets, and monitors progress. 
Oversees all project activities to capture data on indicators and to identify best practices and lessons learned as required by USAID. 
Works with technical staff to oversee tools for data collection, storage, and analysis, train staff and partners on MEL system operations, collection methods, and tools. 
Designs needs-based operations research studies and protocols to generate evidence for which innovations work, which do not work, and why. 
Ensures methodological rigor of research is undertaken. 

Qualifications

Qualifications
Bachelor's Degree and 12 years of experience, Master's degree and 10 years of experience, or PhD and 6 years of experience in public health, economics, data science or a related field. 
Minimum of 4 years of experience with M&E systems, ideally relevant to health sectors in Bangladesh. 
Solid experience with impact evaluations, quantitative and qualitative research methods, surveillance surveys, research methodologies, data analysis, sampling techniques and establishing M&E systems. 
Demonstrated experience with computer and/or web-based performance data recording and reporting systems and other technologies that improve the quality of monitoring system integrity and data collection/analysis/reporting/visualization. 
Demonstrated experience conducting social science research. 
Experience with USAID development sector priorities and reporting requirements. 
Ability to work effectively, responsively, and collaboratively with government counterparts such as government ministries, development and private sector partners, civil society organizations, private sector, and academic/research institutions. 
Excellent management and organizational skills (attention to detail is required). 
Must be fluent in English. 
Ability and willingness to work throughout Bangladesh required. 
Bangladeshi nationals are strongly encouraged to apply. 

EEO & Pay Equity Statements

RTI does not permit any payment requests demanded during any part of the hiring process.  If such requests are made, please report it to the RTI Ethics Office via HRethics@rti.org.  Any candidate making any payment will be disqualified from consideration for future employment with RTI. "
UX Researcher,Grameenphone Ltd · Bangladesh  3 days ago  · 189 applicants,"About the job


Job Title: UX Researcher

Organization: Commercial Planning & Development, Commercial

Closing Date: October 17, 2023

Please attach your updated CV while applying

Job Summary:

This role will work to develop optimal user experience across Grameenphone’s points of interaction with internal and external customers. The role will work with product owners across digital, traditional and alternative assets to establish human centric design for users at B2B/B2C levels as well as for internal applications. 

Overall Purpose of the Role:

Role purpose is to conduct user research and develop design UX in close collaboration with cross functional teams to establish and maintain best design and experience from early-stage product designs to service designs, wireframing prototyping

 Key Responsibilities:

Design/Optimize user journeys and user experiences through known research methods and design tool
Formulate Research Plan including sampling, recruitment, methods of research, points of interaction and expected outcomes
Maintaining repository of research insights for reference and iteration
Develop optimal methods of event tracking for conversion of journeys and identifying points for iteration
Create workflow, wireframes, user stories, prototypes of web-based, mobile-friendly applications.
Quickly yet thoroughly create user flows, wireframes, visual designs and prototypes as needed to effectively conceptualize and communicate detailed interaction behaviors
Create user-centered designs by considering market analysis, customer feedback, technical constraints/opportunities and customer insights

Experiences:

Minimum 2/3 years of experience as a user experience designer, interaction designer, information architect, or similar role
Fluency in best practices for information architecture and design, as well as strong knowledge of usability principles and techniques
Experience in applied research methods
Experience in practicing ethnography will be considered as an advantage
Experience in establishing streaming content consumption services with optimal experience design will be considered as an advantage
Experience in designing self-care applications will be considered as an advantage

Education:

Bachelor/Masters from acknowledged institutions with major preferably in Interaction Design/ Usability Engineering/ Human Centered Design/ Psychology/ Architecture/Anthropology

Special Skills:

Strong familiarity with different kinds of interaction requirement and appropriate best practices, including content/information/services
An ability to translate complex systems, data and ideas related to human-centered design through visuals, typography, and information graphics
Comfort sketching to synthesize ideas during research, prototyping, or workshops
Ability to assimilate feedback at all stages of a project and refine design concepts to create production-ready artwork for print and digital mediums
Ability to work well in teams with members of diverse backgrounds beyond design"
Intern,"ADA · Dhaka, Bangladesh Reposted  14 hours ago  · 1,138 applicants","About the job
About ADA

ADA is a leading data and artificial intelligence (AI) company that designs and executes integrated digital, analytics, and marketing solutions. We operate in 11 markets in South and Southeast Asia and partner with leading brands to drive their data and digital maturity.

What Will You Do?

 Assisting with projects and tasks within the department
 Conducting research on innovative marketing tools and software
 Attending meetings and taking notes
 Providing support to team members
 Learning about specific software or tools
 Contributing to reports or presentations
 Handling administrative duties

Qualifications

 Current enrollment in a Bachelor's or Master's program in Marketing, Business, or a related field
 Strong written and verbal communication skills
 Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint)
 Enthusiastic and eager to learn

 By submitting this, you agree to this Privacy Notice and you will be deemed to have consented to the collection, use, and disclosure of your Personal Information in accordance with this Privacy Notice:   https://ada-asia.com/privacy-policy/ 

 Unfortunately, we are only able to contact shortlisted applicants. We encourage you to continuously visit our website   www.ada-asia.com   for regular updates on available roles"
Global Graduate - IDT,"BAT · Dhaka, Dhaka, Bangladesh Reposted  1 week ago  · 1,235 applicants","About the job
BAT is evolving at pace - truly like no other organisation. 

To achieve the ambition, we have set for ourselves, we are looking for colleagues who are ready to live our ethos every day. Come be a part of this journey!

BAT BANGLADESH IS LOOKING FOR A GLOBAL GRADUATE- IDT

SENIORITY LEVEL Global Graduate

FUNCTION  Information & Digital Technology

SALARY RANGE Competitive salary + excellent benefits + market leading bonus

LOCATION Dhaka

ROLE POSITIONING AND OBJECTIVES

Our approach to your early training and career development, through the Global Graduate Programme, reflects our recognition that getting the right start is crucial to building a successful career. This programme provides a foundation for your functional and managerial skills, along with business awareness development.

The programme is crafted for individuals who seek to have fast-tracked career progression. Through functional and cross-functional roles, it will prepare you for a management role in relevant function in just 18 months upon successful completion. Information & Digital Technology department deals with the digital transformation and enablement of the entire business.

Reports to  IDT Manager

Reporting Level Senior

Geographic Scope Bangladesh

What You Will Be Accountable For

You will have one core role and multiple cross functional attachments to develop you as a well-rounded business leader with an understanding of the broader stream of business. This can be in any of the sub-functions within IDT department
You will also be assigned on a strategic stretch project where you will collaborate with the team to deliver results for their relevant sub-function
You will also get the chance to take part in BAT Grad Academy and build network with GGs from different parts of the BAT world

CAN THIS BE YOUR FUTURE ROLE? 

Do you seek to tackle stretch challenges and deliver within exacting deadlines?
Are you flexible to dive into our world full of diversity and inclusion? 

Essential Experience, Skills And Knowledge

Preferably CSE/Applied science students from public/private university
Experienced candidates up to 2 years can also apply
Strong interpersonal, team building, and negotiation skills
Interest in low code app development and robotic processes automation
Knowhow on software development, SDLC, application architecture
Understanding of cybersecurity is an added advantage 
Keen to learn project and product management 
Upright communication skills
Active involvement in extra-curricular activities now or during student life
Upbeat, self-motivated, result-driven, highly adaptable, and able to work independently

WE ARE BAT

At BAT we are committed to our Purpose of creating A Better Tomorrow. This is what drives our people and our passion for innovation. See what is possible for you at BAT.

Global Top Employer with 53,000 BAT people across more than 180 markets
Brands sold in over 200 markets, made in 44 factories in 42 countries
Newly established Tech Hubs building world-class capabilities for innovation in 4 strategic locations 
Diversity leader in the Financial Times and International Women’s Day Best Practice winner
Seal Award winner – one of 50 most sustainable companies 

BELONGING, ACHIEVING, TOGETHER

Collaboration, diversity, and teamwork underpin everything we do here at BAT. We know that collaborating with colleagues from different backgrounds is what makes us stronger and best prepared to meet our business goals. Come be the change!"
Software Engineer (SD -3) (9/10/23),Robi Axiata Limited · Bangladesh  5 days ago  · 207 applicants,"About the job
Job Purpose: As a Software Engineer, Working closely with our senior developers and cross-functional teams to build responsive web applications. Primary focus will be on front-end development using React.js, Vue.js.

Key Accountabilities

Ø Develop and maintain front-end components using React.js.

Ø Implement responsive web designs that work seamlessly across various devices and browsers.

Ø Translate UI/UX design wireframes into high-quality code.

Ø Write well-structured, reusable, and maintainable code.

Ø Write clean, maintainable, and efficient code.

Ø Assist in debugging and troubleshooting issues to ensure the application's performance and functionality.

Ø Participate in code reviews to learn from feedback and improve your skills.

Ø Stay up-to-date with the latest web development trends, tools, and technologies.

Ø Design, Develop & Consume RESTful API & ensuring its security & best practices.

Ø Design, Develop & Deploy container-friendly systems.

Ø Ensure that the software solutions and system architecture are designed and developed in accordance with the company security policy & data privacy requirements.

Ø Strong collaboration with cross-functional teams and other stakeholders to make sure the delivery according to the plan.

Ø Collaborate with senior developers and designers to create user-friendly web applications

Educational Requirement: B.Sc/M.Sc in CSE or related field from reputed university

Experience Requirement: Design, develop, improve, deliver high-quality Software that meets coding and design patterns"
"Business Analyst, IT","BRAC-Aarong · Dhaka, Bangladesh  1 week ago  · 675 applicants","About the job
Job Responsibilities:

Collaborate with business users and other stakeholders to understand business objectives, requirements, and system specifications
Coordinate with the stakeholders and other cross-functional teams as needed in the SDLC process
Analyze and translate business needs into technical requirements and user stories
Create and maintain project documentation, including SRS, business process diagrams, use cases, requirements traceability matrices, and test plans accordingly
Leverage in-depth working knowledge of software systems, including but not limited to ERP, CRM, web applications as well and database to provide solution design, architecture, and development insight and recommendations
Development of software (requirement analysis, design, coding, testing, and deployment) as per company requirements in collaboration with the application development team and business stakeholders to deliver effective solutions aligning with business goals.
Stay updated with industry trends, best practices, and emerging technologies to suggest improvements and innovations in software solutions
Provide recommendations for process improvements and assist with process documentation
Work with project managers to track project progress and ensure that milestones are met
Conduct research and analysis to identify areas for improvement and growth opportunities
Document business processes and workflows to identify gaps and inefficiencies
Provide training and support to end-users on new processes and systems
Support product launches and ensure that users are properly trained

Safeguarding Responsibilities:

Ensure the safety of team members from any harm, abuse, neglect, harassment, and exploitation to achieve the program’s goals of safeguarding implementation. Act as a key source of support, guidance, and expertise on safeguarding for establishing a safe working environment.
Practice, promote, and endorse the issues of safeguarding policy among team members and ensure the implementation of safeguarding standards in every course of action.
Follow the safeguarding reporting procedure in case any reportable incident takes place, and encourage others to do so.

Qualifications:

Education: A Bachelor's Degree (preferably in Computer Science and engineering or Information technology) from any reputed university

Experience: At least 6 years of working experience in the software development track including a minimum of 3 years experience as a Business Analyst and 3 years as a Software Developer

Preferred Qualifications:

Conversant in Software development lifecycle like Water Fall, Scrum, and Agile methodology
Sound knowledge in OOP with .NET/Python/React/PHP with MVC-based framework and relevant technologies
Strong knowledge in RDMS like Oracle/MSSQL Server/MySQL/Postgres
Familiarity with software development tools such as Jira, Confluence
Experience with Software development, User interface design, and usability testing
Strong analytical and problem-solving skills
Excellent verbal and written communication skills
Familiarity with data analysis tools and techniques
Excellent problem-solving and analytical skills

Salary and Other Benefits:

Salary: As per company policy

Other benefits:

Provident Fund, Gratuity, Festival Bonus, Yearly Performance Bonus, Health and Life Insurance, and others as per company policy

Application Deadline: October 16, 2023

BRAC believes every one of its employees, suppliers, downstream partners, visitors, clients, and community including children, youth, and vulnerable adults that come into contact regardless of age, race, religion, gender, disability, or ethnic origin has the right to be protected from all forms of harm, abuse, neglect, harassment, and exploitation. We guarantee the assessment of candidates with disabilities who meet the essential requirements. We are proud to be an equal-opportunity employer and will do everything possible to ensure that those who are suitable to work within our values and beliefs are recruited to work for us. Any personal persuasion will result in disqualification of candidature."
"Manager, Talent Development",foodpanda · Bangladesh Reposted  1 week ago  · 484 applicants,"About the job
""To be the most loved everyday food and groceries destination!"" - that’s our mission at foodpanda (small ‘f’).

foodpanda is the largest food and grocery delivery platform in Asia, outside of China. Operating in more than 400 cities across 11 markets, we continue to expand and grow in our core food delivery business, as well as in new verticals like grocery deliveries, with a strong tech infrastructure at our core. From our restaurants, cloud kitchens, and cloud grocery stores- foodpanda is just one tap away, getting everything, you need into your hands quickly and conveniently!

We are looking for enthusiastic problem solvers to join us in scaling our platform, digitalizing businesses in Asia, uplifting rider livelihoods, and building a hyper-convenient platform for our customers. If you love working with technology to create solutions and are not afraid to roll up your sleeves to get things done, you will find your tribe here at foodpanda. Our diverse and high-performing team comprises people from more than 60 nationalities, and we welcome all experiences, backgrounds, and perspectives.

Responsibilities:

Create, refine, and disseminate training modules and other talent development resources
Facilitate training courses, workshops, and other talent development programs and activities across multiple methods
Manage and administer the internal e-learning platform
Implement effective learning strategies with measurable outcomes
Review and improve the effectiveness of talent development programs and activities
Assist in the preparation of the training budget and other relevant areas
Strategize and leverage funding (public and private) for talent development programs and activities
Support succession planning programs and activities
Support career development programs and activities
Support performance management process and activities end-to-end
Coach and support employees in talent development areas
Collaborate effectively with other relevant stakeholders
Has a full understanding of the various business units and their specific training requirements
Act as a resource on matters relating to talent development
Stay abreast of the latest developments in learning trends, methodologies, and technologies

Requirements:

Bachelor’s degree from a reputed Local or Foreign university with a major in HRM
Overall, a minimum experience of 5-6 years in Human Resources
Ability to design and execute effective training modules
Possess excellent facilitation skills
Familiarity with e-learning platforms
Familiarity with performance management in the scope of human resource
Ability to problem solve through analytical skills, critical thinking, and reasoning
Highly competent in advanced Excel skills
Ability to coach and mentor others
Ability to communicate and engage all stakeholders effectively
Competent in Google Workspace (G Suite)
Highly independent, proactive, and self-driven
An affinity for learning trends, methodologies, and technologies

What we offer:

A dynamic and challenging work environment.
A company committed to developing you personally and professionally.
A vibrant and international team committed to diversity and inclusion.
Responsibility from day one in a fast-growing and global company.
Other benefits include health insurance and learning and development opportunities!

Our parent company, Delivery Hero, is a global leader in the food delivery industry processing over 3 million orders every day and operating in 40+ markets in the world, with 18,000 employees and approximately 500,000+ restaurant partners."
"Legal Counsel, BRAC International","BRAC · Dhaka, Bangladesh  1 week ago  · 380 applicants","About the job
Career with BRAC International
 BRAC International is a leading non-profit organisation with a mission to empower people and communities in situations of poverty, illiteracy, disease, and social injustice. Founded in 1972, by Sir Fazle Hasan Abed, BRAC is the largest non-governmental development organisation in the world, and is present in 15 countries across Asia and Africa today. BRAC designs proven, scalable solutions that equip people with the support and confidence they need to achieve their potential. BRAC’s institutional expertise on various programmes, including health, agriculture, microfinance, education, and youth empowerment, is touching the lives of over 100 million people in the Global South.

BRAC International (BI) is seeking application from competent, dynamic and self-motivated individuals to fill the following position:
 Legal Counsel, BRAC International
 Key Responsibilities:
Legal review and research:
  Undertake the review and drafting of all legal documentation including contracts, MoUs, opinions, letters, applications, notices etc. covering a variety of legal areas (e.g SLAs, Financing Documents, Consultancy Agreements, Employment Agreements, Legal Notices and responses thereto)
Conduct legal research (as assigned) into the laws applicable to each of the BI countries as applicable from time to time, including research into laws governing the development Sector, labour/employment law, company law, contract law, AML and CFT laws, corporate governance policies etc. and to apply the same in advice given
Provide legal support across several units and departments like Procurement, IT, Communications, Human Resources, Grants Management etc.
Maintain thorough understanding of internal policies and identify gaps or windows where new policies/ SOP’s are required
Regular follow up on advice given and progress in implementation of such advice; contracts management; Perform independent interpretation of contractual clauses and manage contractual disputes.
Visit BI country offices as and when required for resolution of particular legal issues
Any other task assigned by the supervisor from time to time.
Company secretarial:
Candidate will be required to draft/ review constitutional documents of entities and advising on the authorities/ limitations therein
Candidate will be required to draft effective board resolutions that are in line with the entities’ constitutional documents across multiple jurisdictions
Experience in working in complex corporate structures and managing multiple subsidiaries will be an added advantage
Compliance:
Candidate will be required to advice on the basic laws regarding anti-money laundering and anti-terrorism measures implemented by organizations
Administrative:
Undertake administrative responsibilities on behalf of the Legal Function as assigned by line manager from time to time
Maintain comprehensive task list of all work undertaken by the Legal Function; organize and keep records of all contracts, amendments, correspondence, clarifications in readily accessible format and act as point of contact for documentation support to BI Offices and Country Offices
 Safeguarding
Ensure the safety of team members from any harm, abuse, neglect, harassment and exploitation to achieve the programme’s goals on safeguarding implementation. Act as a key source of support, guidance and expertise on safeguarding for establishing a safe working environment. 
Practice, promote and endorse the issues of safeguarding policy among team members and ensure the implementation of safeguarding standards in every course of action.
Follow the safeguarding reporting procedure in case any reportable incident takes place, encourage others to do so.
 Educational Requirements
LLB (Hons.) from any recognised University.
Completion of the BPTC will be an added advantage
 Required Competencies
Excellent written and verbal communication skills and excellent drafting skills.
Meticulous with work and attentive to details.
Ability to resolve issues independently
Hands on expertise in version control, redlining/ blacklining, document management and other operational expertise related to contract negotiation and management.
Ability to engage, inspire and drive results through people management and working in teams
Candidate shall have the right mindset for adapting to the organizational culture and professional conduct
 Experience Required:
Minimum experience of 3- 4 years. Experience as in-house counsel required. A combined equivalent experience of serving as an in-house counsel and working at a law chamber specializing in development/ corporate sector will be an added advantage.
Candidate must have demonstrated experience in working with the NGO sector, or in-house corporate team and have exposure to development/ corporate/ commercial transactions.
Understanding of basic AML/CFT practices, and international sanctions and the impacts thereof, will be an added advantage.
 Employment Type: Regular
 Salary : Negotiable
 Job Location: Dhaka, Bangladesh
 Application deadline: 20 October 2023
 Internal candidates need to apply with their latest CV including all job assignments in detail with BRAC PIN and email to internal.bi@brac.net
 BRAC is committed to safeguarding children, young people and adults, and expects all employees and volunteers to share the same commitment. We believe every stakeholder and every member of the communities we work with has the right to be protected from all forms of harm, abuse, neglect, harassment, and exploitation - regardless of age, race, religion, and gender, status as an individual with a disability or ethnic origin. Therefore, our recruitment policy and procedure include extensive background checks and disclosure of criminal records in order to ensure safeguarding to the fullest extent.
 BRAC is an equal opportunities employer"
